Date,aapl,adbe,amd,amzn,axp,cl,cmg,cost,crm,csco,dal,dis,fdx,googl,hd,hlt,hsy,jnj,jpm,ko,luv,ma,mar,mcd,mmm,msft,nflx,nke,nvda,pg,sbux,tgt,tsla,v
2013-01-02,16.937682126767367,37.91999816894531,2.549999952316284,12.803999900817873,50.17320726932264,41.17777099537199,304.260009765625,82.17501093279363,42.942501068115234,14.500520881528228,10.698666024103089,46.18191608808468,83.08912799096746,18.003503799438477,49.78006012734727,,57.5292786876413,52.923096999383546,33.56780121314558,26.595353491567263,9.552787405577442,47.50437843733723,34.22549746624821,66.86377398846017,67.47245541146334,22.31731744060339,13.601428985595703,23.228304508504515,2.8993026265662625,50.25120895872521,22.54334734368802,43.49102549049646,2.3333330154418945,35.7351640152152
2013-01-03,16.7560145274065,38.13999938964844,2.5199999809265137,12.863499641418455,50.57749402644882,41.40391045997344,297.0,83.408448817102,42.51750183105469,14.745556675821776,10.760716262047048,46.409187013512245,83.67594355868707,18.14139175415039,49.94451342077623,,58.58732162832048,52.89329572428794,33.38869895244363,26.92608714126238,9.561926309265733,47.89470615658258,34.70780323454586,67.54436588257367,67.57991215986839,22.62852738269364,13.13857078552246,23.02882372368806,2.936235840804581,50.82949362181045,22.74155352021502,44.961281349945175,2.3453330993652344,36.418983582311405
2013-01-04,16.42234585555661,37.880001068115234,2.509999990463257,12.878999710083008,50.81831991618917,41.598872186898376,301.44000244140625,83.76787330707663,42.165000915527344,14.709526517380803,11.132997610253907,46.7091973753038,84.28042532255415,18.251752853393555,49.49816551680805,,58.08990047097416,53.08705409533103,33.17228850550669,27.06987775402724,9.827027059719558,47.959437747611055,35.038272857666016,67.77623185277109,67.90228323749444,22.333687737774667,13.791428565979004,23.272637681316244,2.943161602873468,50.51472908034259,22.93151981685413,45.08751109679769,2.319999933242798,36.06896342105898
2013-01-07,15.96451796308457,37.810001373291016,2.609999895095825,13.148500442504885,50.99036266538347,41.824999037778106,299.9599914550781,82.57527024847676,42.31999969482422,14.687902096697997,11.647101270897066,47.05464464804467,83.93372924272117,18.40465545654297,49.02047293605454,,58.71366415185689,53.28079721507872,33.64988833257473,26.976415456559288,9.964149765740824,48.11435053259865,34.779261385880126,67.1404954274848,68.06704193069956,21.924201287669963,13.770000457763672,23.40118143930558,3.033186852065321,50.44884976208216,22.87783494602138,44.93900198570756,2.319999933242798,36.37958541263704
2013-01-08,16.185025552756205,37.77999877929688,2.720000028610229,13.353500366210938,51.33442352115288,41.294745963349946,300.3500061035156,82.501778218976,42.337501525878906,14.543763398231643,11.567326121291488,46.254643408893095,83.94260974757213,18.406906127929688,49.13794296828576,,58.72944312590753,53.13920671732912,33.881244431577294,26.73914071605636,10.26581604306474,48.82129087952275,34.7703236784705,67.71636568355346,68.17449371348968,21.90782554275385,14.287142753601074,23.37015600750427,2.954703216137176,50.15605857033472,22.9521680549734,45.36967037522432,2.299999952316284,36.54416250531576
2013-01-09,15.979806251688562,38.15999984741211,2.700000047683716,13.408499717712402,51.97092335110827,41.46630688763285,298.45001220703125,82.52625505869685,42.52750015258789,14.601419756677709,11.523006138651157,46.30010357850607,84.4938195724071,18.325075149536133,49.73307291021348,,58.25570244614832,53.385113087854535,34.00064869617845,26.746336667166105,10.09212957883119,49.30665167302407,34.814980489224254,67.91081412869772,68.67593280582494,21.883251279811308,13.874285697937012,23.30366141292767,2.9062271018354284,50.33904760500807,23.080179937752863,45.094947227334686,2.267333030700684,37.41343351613245
2013-01-10,16.164840956628993,38.75,2.690000057220459,13.427000045776367,51.98813764937903,41.44680922000302,296.0,82.78765374696697,43.150001525878906,14.666276886940985,11.921877811391756,46.24554666072494,86.53856690509599,18.589338302612305,49.63128520399199,,59.11634451304956,53.51180477719153,34.24692855873599,26.68881604626664,10.13783873867642,49.989170979543765,35.0025380175586,68.32220575542476,69.27767398596188,21.825916415160336,13.795714378356934,23.33026368033896,2.843900646361946,50.49276739423481,22.61354317735144,44.83503246599238,2.257999897003174,37.55946837348777
2013-01-11,15.933936070135529,38.650001525878906,2.630000114440918,13.255000114440918,52.039760151227455,41.938092475934326,298.9599914550781,82.50176766408752,43.122501373291016,14.702319333009568,11.815512402647768,46.20010251123264,86.72529833452644,18.56856918334961,49.70175960557811,,59.969102029082656,53.79498445781552,34.30662403328071,26.487499539984626,10.137837282986531,49.52350449203895,34.81497966553702,68.76347664784501,68.6544189547655,21.694886299002107,14.025713920593262,23.343558520579595,2.8346677999965624,50.72700623945786,22.758078293642733,44.67910442374521,2.2693328857421875,37.03790281804494
2013-01-14,15.373650270252714,37.9900016784668,2.680000066757202,13.399999618530272,52.28058976004943,41.84061005987569,299.9700012207031,81.96263376286112,43.23500061035156,14.904112516482234,11.78892104893413,45.81827856009709,86.55636710271212,18.443443298339844,49.85053697222384,,60.02436609402973,54.100494458159744,34.24692538331644,26.566588200413776,10.101270837157209,49.71504037133364,34.75245346166126,68.6288333376044,69.05559498419517,22.030670038716128,14.427143096923828,23.57850646972656,2.836976500397608,50.73434122592256,22.749815011113693,44.54544700499734,2.20533299446106,37.385624605549424
2013-01-15,15.23968947864142,37.86000061035156,2.619999885559082,13.534000396728516,51.73870915220121,41.836710669638826,292.20001220703125,81.56238410807642,43.11249923706055,15.077086213506783,11.744602101959748,45.88192001071745,87.2320359434075,18.001251220703125,49.725252442584335,,60.10332141480485,53.83967569118126,33.94840533877317,26.595348545104883,10.0372818644906,49.02875965737033,34.45772104065236,68.14270376576182,69.36362039793406,21.97334594234645,14.717143058776855,23.512006652160405,2.802351794432262,50.62452502079533,22.55985758529351,44.857318483604445,2.2073330879211426,37.04717166834527
