Date,aapl,adbe,amd,amzn,axp,cl,cost,csco,dis,fdx,hd,hsy,jnj,jpm,ko,luv,mar,mcd,mmm,msft,nflx,nke,nvda,pg,sbux,tgt
2000-01-03,0.8483229875564575,16.274675369262695,15.5,4.46875,33.198848724365234,18.733959197998047,30.799129486083984,37.49692535400391,23.115253448486328,36.263858795166016,40.083255767822266,13.58238410949707,25.085430145263672,24.23975944519043,14.781797409057615,9.467610359191896,11.42856788635254,22.18610000610352,24.772855758666992,36.205604553222656,,4.670586585998535,0.8947288393974304,28.6081771850586,2.4377646446228027,23.075401306152344
2000-01-04,0.7768008708953857,14.909399032592772,14.625,4.096875190734863,31.9453182220459,18.24492073059082,29.11210060119629,35.393280029296875,24.469282150268555,35.0498046875,37.96956634521485,13.069842338562012,24.16706657409668,23.70790100097656,14.798185348510742,9.206693649291992,11.358309745788574,21.731176376342773,23.78849029541016,34.98255157470703,,4.415827751159668,0.8708379864692688,28.05769920349121,2.360522747039795,22.0747299194336
2000-01-05,0.7881678938865662,15.204172134399414,15.0,3.487499952316284,31.133947372436523,17.62421226501465,29.60956764221192,35.284847259521484,25.48481178283692,35.84158706665039,38.73818206787109,13.124749183654783,24.42217063903809,23.561561584472656,14.92928981781006,9.16941738128662,11.545666694641112,22.08111953735352,24.477537155151367,35.351417541503906,,4.670586585998535,0.8421685695648193,27.523902893066406,2.391420602798462,21.574392318725582
2000-01-06,0.7199613451957703,15.328289985656738,16.0,3.278125047683716,31.768239974975582,17.586589813232422,30.204360961914062,34.69929885864258,24.469282150268555,39.906097412109375,36.893516540527344,13.472546577453612,25.187484741210938,23.89606094360352,14.945670127868652,9.132144927978516,11.709595680236816,21.76616859436035,26.44623565673828,34.167198181152344,,4.64632511138916,0.7872183322906494,28.79167556762696,2.47793197631836,20.553714752197266
2000-01-07,0.7540648579597473,16.072986602783203,16.25,3.478125095367432,32.23074722290039,18.639911651611328,32.20500564575195,36.73788070678711,24.082416534423828,40.11724472045898,39.04565048217773,13.509161949157717,26.258930206298828,24.33509826660156,15.928942680358888,9.467610359191896,12.03746509552002,22.326080322265625,26.9712142944336,34.61371994018555,,4.64632511138916,0.8003586530685425,31.093673706054688,2.46557354927063,21.614425659179688
2000-01-10,0.7408024668693542,16.693567276000977,17.5,3.4593749046325684,32.6800651550293,19.147768020629883,32.87548065185547,38.10416030883789,27.757652282714844,39.27267837524414,38.85348510742188,13.545774459838867,25.59564781188965,23.916969299316406,15.420915603637695,9.579431533813477,12.669785499572754,22.43106269836425,26.839977264404297,34.866085052490234,,4.725180149078369,0.8266391754150391,30.943532943725582,2.5706229209899902,21.194141387939453
2000-01-11,0.7029096484184265,15.545493125915527,17.25,3.337500095367432,32.984012603759766,19.241809844970703,31.70754623413086,36.95475387573242,28.04779815673828,38.53369522094727,37.85427474975586,13.271195411682127,25.68068504333496,23.352500915527344,15.94532871246338,9.87763214111328,12.224821090698242,22.95596504211425,26.3806209564209,33.97306442260742,,4.961740493774414,0.7931907176971436,31.42730140686035,2.496469736099243,21.83456420898437
2000-01-12,0.6607540249824524,15.467920303344728,18.125,3.1781249046325684,32.81222152709961,19.373470306396484,31.66429901123047,36.022212982177734,26.065105438232425,38.21695327758789,37.54684066772461,13.179669380187988,25.44259452819824,23.49884414672852,16.125595092773438,9.914897918701172,12.34191608428955,23.935791015625,26.44623565673828,32.86652755737305,,4.791901588439941,0.7728833556175232,31.227127075195312,2.502649545669556,21.594411849975582
2000-01-13,0.7332236170768738,16.290185928344727,18.875,3.296875,32.984012603759766,19.50514030456543,32.85386657714844,36.846309661865234,26.935546875,39.6949577331543,38.20016479492188,13.088143348693848,25.4085750579834,23.854246139526367,15.879780769348145,9.579431533813477,12.365336418151855,23.69083976745605,26.44623565673828,33.487754821777344,,4.852560043334961,0.8051366209983826,30.693336486816406,2.681851387023926,22.094751358032227
2000-01-14,0.7611694931983948,16.46084213256836,20.1875,3.212500095367432,33.72402572631836,19.05371284484864,33.95691680908203,37.32343673706055,25.9683895111084,39.325469970703125,38.08485794067383,12.465768814086914,25.49360466003418,24.71141624450684,16.010883331298828,9.65398406982422,12.271661758422852,23.8570556640625,26.06891632080078,34.866085052490234,,4.979936599731445,0.8397794365882874,31.227127075195312,2.6138782501220703,22.17480659484864
2000-01-18,0.7876942753791809,15.88680934906006,19.5,3.206249952316284,32.045745849609375,18.959672927856445,35.470916748046875,38.86321640014648,26.693767547607425,37.31961441040039,37.20096969604492,12.593905448913574,24.84733772277832,23.749717712402344,17.043317794799805,9.393061637878418,12.107722282409668,23.23592758178711,25.494707107543945,35.817344665527344,,4.913214683532715,0.8756158947944641,31.210437774658203,2.576802492141724,21.7745304107666
2000-01-19,0.807588517665863,15.669608116149902,19.59375,3.340625047683716,31.49073028564453,18.50825500488281,35.903472900390625,38.97164535522461,26.887195587158203,37.37238311767578,38.04644012451172,12.63051700592041,24.932373046875,24.795040130615234,17.108863830566406,9.243968963623049,12.177982330322266,23.72583770751953,25.93766593933105,33.23538589477539,,5.125516891479492,0.8672544360160828,30.877910614013672,2.5211875438690186,22.39494705200196
2000-01-20,0.8601644039154053,15.840269088745115,19.5,3.237499952316284,32.01271057128906,18.639911651611328,34.60578155517578,38.99333953857422,26.016748428344727,35.894371032714844,37.39311218261719,12.35594367980957,25.01742553710937,24.77413558959961,17.272737503051758,9.020322799682615,12.060888290405272,23.830814361572266,24.969709396362305,32.92477798461914,,5.0042009353637695,0.8648644685745239,30.12518882751465,2.47793197631836,21.67445945739746
