Date,aapl,abnb,adbe,amd,amzn,axp,cl,cmg,cost,crm,csco,dal,dis,fdx,googl,hd,hlt,hsy,jnj,jpm,ko,luv,ma,mar,mcd,mmm,msft,nflx,nke,nvda,pg,sbux,tgt,tsla,uber,v
2021-01-04,127.33171081542967,139.14999389648438,485.3399963378906,92.3000030517578,159.3314971923828,113.97342681884766,78.98748779296875,1319.1199951171875,372.6297912597656,220.3099975585937,40.79476165771485,38.64882278442383,177.67999267578125,242.5931091308593,86.30650329589844,246.9951934814453,106.76473236083984,143.29151916503906,145.5201416015625,116.43709564208984,48.92699813842773,44.08175659179688,346.1290588378906,123.02185821533205,197.740234375,153.06753540039062,212.42691040039065,522.8599853515625,136.27793884277344,130.85162353515625,128.74163818359375,97.56627655029295,167.93724060058594,243.2566680908203,51.13999938964844,213.5669708251953
2021-01-05,128.90602111816406,148.3000030517578,485.6900024414063,92.7699966430664,160.92550659179688,114.58172607421876,79.16545867919922,1355.1099853515625,368.30706787109375,221.5200042724609,40.81333160400391,39.46710205078125,178.44000244140625,242.58352661132807,87.00250244140625,248.98855590820312,107.25155639648438,143.13011169433594,147.2310791015625,117.0706787109375,48.38914108276367,44.66898727416992,342.12109375,124.32337951660156,198.9254302978516,152.8092498779297,212.63180541992188,520.7999877929688,137.3770751953125,133.75779724121094,129.56369018554688,97.88803100585938,170.5277099609375,245.0366668701172,54.0099983215332,210.37957763671875
2021-01-06,124.56681823730467,142.77000427246094,466.30999755859375,90.33000183105467,156.91900634765625,118.82048797607422,77.03926849365234,1343.4100341796875,362.70013427734375,216.1499938964844,41.20309066772461,40.29536437988281,179.1199951171875,242.9476318359375,86.14399719238281,250.4111175537109,110.05331420898438,143.63340759277344,148.61654663085938,122.56781768798828,46.84973907470703,45.75537490844727,342.2491149902344,127.57714080810548,198.47393798828125,155.1337432861328,207.118408203125,500.489990234375,138.46653747558594,125.87239837646484,130.92750549316406,98.5977783203125,178.61119079589844,251.9933319091797,52.47999954223633,208.5259552001953
2021-01-07,128.81744384765625,151.27000427246094,477.739990234375,95.16000366210938,158.10800170898438,117.880615234375,76.6177978515625,1368.1400146484375,360.641845703125,217.97999572753903,41.72276306152344,40.14567947387695,178.5800018310547,235.7327575683593,88.71700286865234,249.1851348876953,112.55699920654295,143.54791259765625,149.11862182617188,126.59284973144533,46.33042526245117,46.323036193847656,344.9605712890625,128.5237274169922,199.395751953125,151.15277099609375,213.0123748779297,508.8900146484375,140.99563598632812,133.151611328125,129.70376586914062,97.80286407470705,180.6722106933593,272.0133361816406,56.130001068115234,209.6930389404297
2021-01-08,129.92929077148438,149.77000427246094,485.1000061035156,94.58000183105467,159.13499450683594,117.99688720703124,77.1329345703125,1402.43994140625,362.6217651367188,222.0399932861328,41.8155632019043,39.93611907958984,178.69000244140625,234.70753479003903,89.8915023803711,251.83364868164065,113.42137908935548,144.36456298828125,148.81179809570312,126.73259735107422,47.36905288696289,45.9804801940918,348.8947448730469,127.87295532226562,203.0548095703125,148.39187622070312,214.3102264404297,510.3999938964844,142.357421875,132.4805908203125,129.6477508544922,99.99832916259766,183.0358123779297,293.3399963378906,53.27999877929688,211.3014678955078
2021-01-11,126.90859985351562,148.1300048828125,474.239990234375,97.25,155.7104949951172,117.29924774169922,76.93622589111328,1402.6199951171875,356.80914306640625,218.25,42.09396743774414,39.327396392822266,179.08999633789062,235.0428924560547,87.81449890136719,253.83639526367188,112.44771575927734,142.54135131835938,148.18881225585938,128.62399291992188,46.5529899597168,46.43069839477539,343.3238830566406,126.85736846923828,201.5121612548828,147.12722778320312,212.2317657470703,499.1000061035156,143.03831481933594,135.92063903808594,128.76968383789062,98.98575592041016,184.62413024902344,270.39666748046875,54.59000015258789,208.79074096679688
2021-01-12,126.73149871826172,160.8000030517578,471.6499938964844,95.36000061035156,156.04150390625,117.84185028076172,77.04865264892578,1401.6400146484375,356.995361328125,215.5200042724609,42.49300384521485,40.21553039550781,175.99000549316406,238.6167907714844,86.87149810791016,258.6092834472656,111.60321044921876,141.8481903076172,147.03578186035156,130.64585876464844,46.46952438354492,47.10601806640625,338.1178283691406,125.60517120361328,199.038314819336,148.2938995361328,209.7335968017578,494.25,141.09286499023438,134.5561065673828,128.02236938476562,97.30130004882812,188.2356872558593,283.14666748046875,58.540000915527344,204.83837890625
2021-01-13,128.78793334960938,169.99000549316406,472.0499877929688,91.77999877929688,158.29449462890625,118.59764099121094,77.26406860351562,1395.0,359.6909484863281,218.17999267578125,42.09396743774414,40.36521911621094,176.1199951171875,241.66368103027344,87.36250305175781,256.4755249023437,111.1461944580078,142.36093139648438,146.81263732910156,130.7669677734375,46.51589584350586,46.968994140625,341.4800720214844,124.73751068115234,199.4992218017578,148.0890655517578,211.1095428466797,507.7900085449219,139.13772583007812,135.0250701904297,128.21852111816406,97.3675537109375,186.08009338378903,284.8033447265625,59.400001525878906,205.3189392089844
2021-01-14,126.8397216796875,180.5,463.2699890136719,90.79000091552734,156.37350463867188,119.93475341796876,76.7489242553711,1411.800048828125,355.1819763183594,215.6000061035156,41.89908981323242,41.383079528808594,173.42999267578125,245.544174194336,86.5459976196289,251.13169860839844,111.3846435546875,139.98699951171875,149.3789825439453,131.53094482421875,45.6534538269043,47.78133392333984,322.3517761230469,127.12359619140624,196.1223297119141,148.20486450195312,207.8697967529297,500.8599853515625,137.4451904296875,131.71725463867188,126.8547134399414,96.35498809814452,187.2051544189453,281.6666564941406,56.90999984741211,197.97317504882807
2021-01-15,125.09814453125,169.27000427246094,458.0799865722656,88.20999908447266,155.21249389648438,118.35537719726562,76.69271087646484,1405.739990234375,354.9957275390625,213.13999938964844,42.15892791748047,39.89620208740234,171.44000244140625,241.98944091796875,86.38099670410156,257.91680908203125,107.70858764648438,140.97454833984375,149.0535430908203,129.1737060546875,45.16196060180664,45.66728591918945,318.7331237792969,125.0234375,197.44862365722656,147.43894958496094,207.50875854492188,497.9800109863281,136.88101196289062,128.31707763671875,125.90190887451172,96.8376007080078,184.1703186035156,275.3866577148437,55.52000045776367,197.70835876464844
2021-01-19,125.77706909179688,173.69000244140625,456.5,89.44999694824219,156.03799438476562,122.81249237060548,75.72796630859375,1429.47998046875,347.4578552246094,216.759994506836,41.93620681762695,40.22551345825195,172.25999450683594,239.07669067382807,89.22350311279297,255.67068481445312,107.23168182373048,141.24993896484375,151.35955810546875,128.61468505859375,44.98576354980469,45.91197204589844,321.3756408691406,125.08259582519533,196.6773223876953,150.6183624267578,211.2071075439453,501.7699890136719,135.47055053710938,129.97100830078125,124.7996063232422,97.03634643554688,177.89266967773438,281.51666259765625,56.29999923706055,197.7770233154297
2021-01-20,129.9096221923828,161.8300018310547,469.7300109863281,88.75,163.16900634765625,124.93445587158205,75.119140625,1480.6199951171875,354.15264892578125,223.44000244140625,42.07540130615234,41.53276443481445,173.63999938964844,241.4145965576172,94.00350189208984,256.70947265625,107.003173828125,142.0855712890625,150.98760986328125,126.68604278564452,45.14341735839844,47.1843147277832,330.22003173828125,124.95441436767578,200.94778442382807,151.59805297851562,218.9160919189453,586.3400268554688,138.90426635742188,133.36866760253906,123.2396011352539,99.79959869384766,178.02503967285156,283.4833374023437,56.380001068115234,202.04324340820312
2021-01-21,134.671875,180.3999938964844,472.0199890136719,91.52999877929688,165.34950256347656,123.47136688232422,74.2574234008789,1503.6800537109375,355.6230163574219,222.1699981689453,41.86196517944336,40.584754943847656,171.27999877929688,243.31173706054688,94.2074966430664,261.1549072265625,108.11591339111328,141.4683380126953,150.38323974609375,125.62387084960938,45.39379119873047,46.75367736816406,329.756591796875,124.84595489501952,200.8537139892578,151.9988250732422,219.53086853027344,579.8400268554688,137.74673461914062,138.3753204345703,123.11837768554688,98.96685028076172,180.8329467773437,281.663330078125,55.790000915527344,201.18997192382807
2021-01-22,136.8365478515625,181.8699951171875,472.4400024414063,92.79000091552734,164.6114959716797,122.22145080566406,73.64521789550781,1494.1800537109375,355.13287353515625,225.7700042724609,41.54644775390625,39.916160583496094,172.77999877929688,243.44583129882807,94.62799835205078,265.7873840332031,104.2809066772461,140.72767639160156,152.07553100585938,124.65486907958984,44.96721267700195,46.38175582885742,324.3828430175781,121.17807006835938,200.712646484375,150.5471649169922,220.4871826171875,565.1699829101562,135.54840087890625,136.8286590576172,122.1692123413086,98.3328094482422,181.43801879882807,282.2133178710937,54.310001373291016,198.1300506591797
2021-01-25,140.62472534179688,177.52999877929688,473.4400024414063,94.12999725341795,164.6999969482422,117.38646697998048,74.04080200195312,1486.3199462890625,354.7212829589844,225.9199981689453,41.787723541259766,38.81846618652344,171.88999938964844,242.8709411621093,94.71399688720705,266.7982482910156,104.43986511230467,140.0914764404297,154.33502197265625,123.09889221191406,45.23614501953125,44.64941787719727,324.5801086425781,117.94403076171876,200.67501831054688,151.7494659423828,223.98062133789065,556.780029296875,133.79750061035156,136.23744201660156,124.27430725097656,97.8974838256836,179.77407836914062,293.6000061035156,54.290000915527344,197.110107421875
2021-01-26,140.8608856201172,192.7400054931641,476.2799987792969,94.70999908447266,166.30650329589844,112.54177856445312,74.17266082763672,1489.25,357.7598571777344,226.259994506836,42.001163482666016,39.237586975097656,169.55999755859375,239.2204132080078,95.39749908447266,264.47723388671875,103.99278259277344,141.9811248779297,158.51931762695312,122.59577941894533,45.70909881591797,44.83537292480469,323.1109619140625,118.75254821777344,202.5939178466797,156.70120239257812,226.7129364013672,561.9299926757812,131.4143524169922,134.06216430664062,125.07308197021484,99.07093048095705,177.45777893066406,294.36334228515625,51.91999816894531,198.1202850341797
2021-01-27,139.77853393554688,201.25,460.0,88.83999633789062,161.62899780273438,110.54576873779295,73.4945068359375,1466.3599853515625,349.33984375,224.77999877929688,42.40948486328125,38.43926239013672,163.02999877929688,232.6667022705078,90.9469985961914,256.4755249023437,98.03160858154295,138.8190155029297,156.10174560546875,119.12977600097656,45.00431060791016,43.210693359375,311.0719299316406,115.82415771484376,194.7113800048828,166.23062133789062,227.2691802978516,523.280029296875,127.4456558227539,128.89834594726562,120.64680480957033,92.61699676513672,168.55178833007812,288.0533447265625,48.11000061035156,191.2158203125
