Date,aapl,adbe,amd,amzn,axp,cl,cmg,cost,crm,csco,dal,dis,fdx,googl,hd,hsy,jnj,jpm,ko,luv,ma,mar,mcd,mmm,msft,nflx,nke,nvda,pg,sbux,tgt,tsla,v
2007-01-03,2.5403263568878174,39.91999816894531,19.520000457763672,1.934999942779541,46.492000579833984,22.17168426513672,56.40999984741211,37.557167053222656,9.017499923706056,19.24422836303711,,28.31709861755371,94.2222137451172,11.701451301574709,26.79971504211425,33.279502868652344,40.77985382080078,31.25541305541992,14.655896186828612,14.0016508102417,8.886700630187988,37.20407104492188,27.338855743408203,47.68214797973633,21.480514526367188,3.801429033279419,9.883013725280762,5.516787528991699,39.82756042480469,13.940682411193848,38.4419059753418,,
2007-01-04,2.5967109203338623,40.81999969482422,19.790000915527344,1.945000052452088,46.15308380126953,22.198694229125977,55.380001068115234,38.431419372558594,9.470000267028809,19.75083541870117,,28.54065322875977,93.11492919921876,12.09359359741211,26.47344017028809,33.687164306640625,41.28959655761719,31.33344078063965,14.6619291305542,14.21817111968994,9.3226957321167,36.28459167480469,27.13319396972656,47.4932746887207,21.44453239440918,3.621428966522217,9.984207153320312,5.4907941818237305,39.525184631347656,13.956502914428713,38.71754837036133,,
2007-01-05,2.578219652175904,40.619998931884766,19.709999084472656,1.9184999465942385,45.54460144042969,22.0974235534668,55.0,37.962310791015625,9.880000114440918,19.75777244567871,,28.308813095092773,92.29948425292967,12.19194221496582,25.96445655822754,33.459957122802734,40.91497421264648,31.07334518432617,14.559351921081545,13.98360824584961,9.31531810760498,35.44368362426758,27.13319396972656,47.17034530639648,21.322240829467773,3.544286012649536,10.000394821166992,5.146758556365967,39.18578338623047,13.89717960357666,38.50239181518555,,
2007-01-08,2.590951681137085,40.45000076293945,19.46999931335449,1.875,45.97593688964844,22.18180274963379,56.04999923706055,38.11867141723633,9.982500076293944,19.86881446838379,,28.565488815307617,92.57415008544922,12.101601600646973,25.768707275390625,33.77403259277344,40.84740829467773,31.177385330200195,14.65287971496582,14.236214637756348,9.31716251373291,35.860198974609375,27.239126205444336,47.27392578125,21.53085327148437,3.4042859077453613,9.970040321350098,5.184987545013428,39.27217864990234,13.845766067504885,38.55618667602539,,
2007-01-09,2.806180953979492,39.630001068115234,19.64999961853028,1.8890000581741333,45.68325424194336,22.17168426513672,56.45000076293945,38.40298843383789,9.989999771118164,19.75777244567871,,28.52408790588379,92.84881591796876,12.149649620056152,25.65778541564941,33.69385528564453,40.69386291503906,31.0473575592041,14.664941787719728,14.263280868530272,9.746705055236816,36.33173751831055,27.28900146484375,47.32876586914063,21.55243873596192,3.427143096923828,10.094499588012695,5.084069728851318,39.173431396484375,13.786446571350098,39.16796875,,
2007-01-10,2.94047474861145,39.220001220703125,20.01000022888184,1.857499957084656,45.65242767333984,22.29320907592773,56.209999084472656,38.67306900024414,10.057499885559082,19.903520584106445,,28.55720901489257,92.35099029541016,12.248748779296877,25.95794486999512,33.593597412109375,40.62631988525391,31.27491950988769,14.686064720153809,14.479798316955566,9.662750244140623,36.504638671875,27.58189392089844,47.43233871459961,21.33662986755371,3.438570976257324,10.094499588012695,5.334830284118652,39.64243316650391,13.742942810058594,39.20159149169922,,
2007-01-11,2.904097557067871,39.880001068115234,20.18000030517578,1.870000004768372,45.79106903076172,22.380983352661133,57.66999816894531,39.31987762451172,10.4350004196167,19.910457611083984,,28.97120475769043,92.4196319580078,12.505505561828612,26.15370178222656,33.74063873291016,40.98252868652344,31.41145896911621,14.704163551330566,14.57001781463623,9.732867240905762,36.82686233520508,27.7376766204834,47.91978454589844,22.084779739379883,3.4628570079803467,10.116758346557615,5.314955234527588,39.8892822265625,14.162154197692873,40.21003723144531,,
2007-01-12,2.86832594871521,39.959999084472656,18.26000022888184,1.909999966621399,45.45215225219727,22.563262939453125,58.27999877929688,39.767669677734375,10.604999542236328,20.070077896118164,,29.153358459472656,93.44105529785156,12.637638092041016,26.173274993896484,33.80076599121094,40.92726135253906,31.203393936157227,14.646838188171388,14.633166313171388,9.709802627563477,37.07832717895508,27.556957244873047,48.35235977172852,22.45165634155273,3.244286060333252,10.094499588012695,5.386819839477539,40.11143112182617,14.197744369506836,40.54617691040039,,
2007-01-16,2.943504810333252,40.04999923706055,18.1299991607666,1.932999968528748,45.54460144042969,22.570024490356445,60.459999084472656,39.97379302978516,10.824999809265137,19.459369659423828,,29.004329681396484,95.86166381835938,12.619620323181152,26.290740966796875,33.820838928222656,40.86582946777344,31.46348571777344,14.631752967834473,14.948929786682127,9.778995513916016,37.2512321472168,27.77507400512696,48.47420120239258,22.41568946838379,3.248570919036865,10.11574649810791,5.395993709564209,40.11143112182617,14.324299812316896,40.90250396728516,,
2007-01-17,2.878329277038574,40.20000076293945,18.200000762939453,1.8940000534057613,45.61393356323242,22.46537971496582,60.59999847412109,40.28653717041016,10.662500381469728,18.72373962402344,,29.18647766113281,95.4925537109375,12.444443702697754,26.290740966796875,33.9277458190918,41.06850051879883,31.48949241638184,14.6619291305542,14.344475746154783,10.059449195861816,37.13333511352539,27.95580673217773,48.07817077636719,22.37252616882324,3.261429071426392,10.100570678710938,5.282844543457031,40.5268669128418,14.351984024047852,40.57980346679688,,
