Date,aapl,adbe,amd,amzn,axp,cl,cmg,cost,crm,csco,dal,dis,fdx,googl,hd,hlt,hsy,jnj,jpm,ko,luv,ma,mar,mcd,mmm,msft,nflx,nke,nvda,pg,sbux,tgt,tsla,v
2014-01-02,17.341548919677734,59.290000915527344,3.950000047683716,19.898500442504883,77.64014434814453,51.289344787597656,523.4299926757812,97.25698852539062,54.86000061035156,16.337495803833008,24.67874526977539,70.19252014160156,124.91893005371094,27.85585594177246,65.56314849853516,42.67359161376953,77.29010009765625,69.89447784423828,44.6460189819336,30.074020385742188,17.409210205078125,78.54883575439453,44.39635467529297,74.46390533447266,101.1752700805664,31.35431861877441,51.83142852783203,35.15997314453125,3.741051197052002,60.78927230834961,32.29059982299805,48.03629684448242,10.006667137145996,51.63258743286133
2014-01-03,16.960622787475586,59.15999984741211,4.0,19.82200050354004,77.89187622070312,51.19363021850586,531.3099975585938,96.8277359008789,55.119998931884766,16.322650909423828,26.04186248779297,70.0452651977539,125.16919708251952,27.65265274047852,65.45923614501953,42.9664192199707,77.19341278076172,70.52409362792969,44.99114990234375,29.92609024047852,17.907140731811523,78.2352523803711,44.11526107788086,74.56430053710938,101.40962982177734,31.14338111877441,51.871429443359375,35.06559753417969,3.696234703063965,60.72133255004883,32.198543548583984,48.27198791503906,9.970666885375977,51.66764068603516
2014-01-06,17.053110122680664,58.119998931884766,4.130000114440918,19.68149948120117,77.85711669921875,51.16172790527344,527.3200073242188,96.09297943115234,54.22999954223633,16.34492301940918,26.09531784057617,69.77836608886719,123.98049926757812,27.9609603881836,64.82772064208984,42.9468879699707,76.97586059570312,70.89264678955078,45.25192260742188,29.78555679321289,17.658166885375977,77.84727478027344,43.93389892578125,74.03137969970703,100.80901336669922,30.485248565673828,51.36714172363281,34.79596710205078,3.745769500732422,60.8647346496582,31.872148513793945,47.94506454467773,9.800000190734863,51.35691833496094
2014-01-07,16.931154251098633,58.970001220703125,4.179999828338623,19.901500701904297,77.56204986572266,51.2095832824707,533.0599975585938,95.6471939086914,54.95000076293945,16.567707061767578,25.640947341918945,70.2569351196289,125.69647979736328,28.5,65.14749145507812,42.9468879699707,78.15219116210938,72.39756774902344,44.730377197265625,29.874311447143555,18.008577346801758,78.931640625,44.12432098388672,74.44072723388672,100.82366180419922,30.721508026123047,48.5,34.822940826416016,3.807097911834717,61.45347213745117,32.307334899902344,47.831016540527344,9.957332611083984,51.749393463134766
2014-01-08,17.03837776184082,58.900001525878906,4.179999828338623,20.09600067138672,77.80570220947266,50.68312072753906,535.8499755859375,94.15296173095705,56.93999862670898,16.5528564453125,26.54969024658203,69.2261962890625,125.45515441894533,28.559309005737305,65.49118041992188,43.005462646484375,78.74842834472656,72.2977523803711,45.15222930908203,29.541479110717773,18.607934951782227,78.9080810546875,44.55052185058594,73.6915283203125,100.0765609741211,30.173046112060547,48.71285629272461,34.64318084716797,3.858990430831909,60.56282806396485,32.65045166015625,47.66374206542969,10.085332870483398,51.91526412963867
2014-01-09,16.82080078125,59.09000015258789,4.090000152587891,20.050500869750977,77.34446716308594,51.8636589050293,541.030029296875,97.83487701416016,56.290000915527344,16.404333114624023,27.67226219177246,68.93169403076172,126.47405242919922,28.284284591674805,65.20341491699219,42.69311141967773,78.66785430908203,72.73541259765625,45.067848205566406,29.38614845275879,19.14275360107422,79.54548645019531,44.4235725402832,73.73014831542969,99.9447250366211,29.978988647460938,48.150001525878906,34.64318084716797,3.715104818344116,60.69869613647461,32.47052764892578,48.15794372558594,9.835332870483398,51.84283447265625
2014-01-10,16.708555221557617,59.52999877929688,4.170000076293945,19.882999420166016,77.05729675292969,51.91151809692383,538.5700073242188,97.29000854492188,56.95000076293945,16.500871658325195,28.03754425048828,69.38263702392578,127.47509002685548,28.28278350830078,65.55513000488281,42.341739654541016,78.8450698852539,72.74308013916016,44.86077117919922,29.6820068359375,19.391719818115234,78.71195220947266,44.68652725219727,73.99273681640625,99.74694061279295,30.40931510925293,47.44857025146485,34.56678009033203,3.7103874683380127,60.60813903808594,32.49981689453125,47.61052322387695,9.714667320251465,51.66062545776367
2014-01-13,16.796031951904297,58.59999847412109,4.130000114440918,19.54899978637696,75.69978332519531,51.60042572021485,529.7999877929688,94.74735260009766,56.209999084472656,16.478595733642578,27.54753494262696,67.43157196044922,125.56246185302734,28.10260391235352,64.72382354736328,42.40029525756836,78.83702850341797,72.55882263183594,44.25484848022461,29.23822593688965,19.10586929321289,76.37725067138672,44.205936431884766,73.2435531616211,98.64825439453124,29.514917373657227,48.11571502685547,33.78486633300781,3.623112440109253,60.38923263549805,31.43279838562012,46.75896835327149,9.28933334350586,51.1396369934082
2014-01-14,17.13022804260254,60.369998931884766,4.300000190734863,19.87700080871582,75.81290435791016,51.728057861328125,530.280029296875,95.9526596069336,57.5099983215332,16.641965866088867,28.51864051818848,68.51754760742188,127.53761291503906,28.76376342773437,64.75579833984375,43.14210891723633,79.49769592285156,72.72772979736328,44.28553009033203,29.3565616607666,19.760560989379883,77.4814224243164,44.74094009399414,73.5447769165039,100.64789581298828,30.189926147460938,48.27999877929688,33.78034973144531,3.73633337020874,61.0383415222168,31.57508087158203,46.91864013671875,10.751333236694336,52.015724182128906
2014-01-15,17.474166870117188,61.68000030517578,4.46999979019165,19.793500900268555,76.79625701904297,51.672210693359375,532.25,95.96089935302734,59.720001220703125,16.916736602783203,28.06427574157715,68.36107635498047,127.4035873413086,28.74424362182617,64.80375671386719,42.77120208740234,79.11901092529297,72.78916931152344,45.62774658203125,29.408334732055664,19.511592864990234,77.637939453125,45.17618560791016,73.73014831542969,101.40234375,31.01682472229004,47.1971435546875,33.897212982177734,3.776433229446411,60.97793197631836,31.880538940429688,46.804595947265625,10.94200038909912,52.27504348754883
