Date,aapl,adbe,amd,amzn,axp,cl,cmg,cost,crm,csco,dal,dis,fdx,googl,hd,hlt,hsy,jnj,jpm,ko,luv,ma,mar,mcd,mmm,msft,nflx,nke,nvda,pg,sbux,tgt,tsla,uber,v
2016-01-04,23.384625291224182,91.7699966430664,2.7699999809265137,32.81449890136719,60.57320139676607,54.487648655300674,468.7000122070313,139.3093270627142,77.13999938964844,20.843905880606115,44.81975493724287,97.28786608005844,132.28265948394446,38.11000061035156,108.38900359688648,41.62049973183109,74.29275485935003,82.63869127211726,51.73841034116867,33.328958648417505,39.00115265033869,90.97612975870264,61.26605061483823,96.91238881802524,113.99563397601833,48.37030830733049,109.0,56.18386075014047,7.881444293248399,63.00823091425317,50.56606725294914,57.99356131621094,15.381333351135254,,72.11599138413644
2016-01-05,24.10022587438872,92.01000213623048,2.7699999809265137,32.34299850463867,59.93270011805336,53.92944602531228,450.0,139.6231271054736,77.06999969482422,20.962379518338352,44.72000820726193,96.86331170866896,129.7076990261165,38.20500183105469,109.25537277900804,41.42417144775391,74.56241605334655,81.72061597835243,51.53616207406082,33.305338769592296,39.65586059920666,90.98565593470728,60.84789558489011,97.04464476473072,113.0485565782074,48.913496007708126,110.4499969482422,56.74468206397459,8.04986440794046,63.072560753446346,50.5832782961798,59.52735558217101,15.09066677093506,,72.29611900175465
2016-01-06,22.91743141206021,91.0999984741211,2.6600000858306885,31.100000381469727,58.29184210485922,53.49620514250859,437.9400024414063,138.04532783236414,75.72000122070312,20.599050829575617,43.34149076700516,93.75938245949104,128.81322308601648,37.51850128173828,107.46432927113986,40.697767708458336,73.07086583826752,81.10308691865873,50.7432907336234,33.21874947720456,39.25368161783694,89.361501069811,59.909337261889696,97.53228822228344,112.10145758010584,48.37030618642343,105.29000091552734,56.35853607155399,7.89608907975765,62.45341510005849,49.64544403574645,59.57577944548933,14.666666984558104,,71.11096233661596
2016-01-07,22.488983617425585,89.4000015258789,2.430000066757202,31.09000015258789,56.56739760772008,52.82135844264521,415.0799865722656,134.9856078869646,75.12999725341797,20.13304768053469,43.88564649622446,93.36313655797974,124.6841935085239,37.324501037597656,105.73991573891225,38.51859292028626,73.07082848227003,80.68872965684528,49.723897393779325,32.78580904212296,40.17025336382134,87.516716467269,57.86495603000558,97.0694315376586,109.73763884960688,46.92773875758571,116.36000061035156,55.521895811273126,7.503115690650702,61.79406761574269,48.93990368023072,59.398195099124685,14.279333114624023,,69.93521798467413
2016-01-08,22.45936095293002,89.68000030517578,2.359999895095825,30.982999801635746,57.34474466008432,52.57141855296328,419.8399963378906,135.36043751748429,74.77999877929688,20.18043040891678,43.06034341338556,94.9386829836118,122.51578447906375,37.38999938964844,105.33170916040504,38.243735363887374,72.45566343906853,81.15183208434136,49.45691393877594,32.78581270471994,39.66520987259886,87.90860485772974,57.9485964456456,95.67258913154858,108.84445514992343,46.63388279691038,116.33000183105467,55.21849902479907,7.486030646889078,62.204139999127975,49.39591970887642,59.90677836087853,14.52400016784668,,70.21966513234949
2016-01-11,22.5550772889708,88.06999969482422,2.1600000858306885,30.624000549316406,56.95160610721868,52.36313446325192,416.6499938964844,132.7627268156506,73.73999786376953,19.69073586773078,42.61595767883765,94.54244400142956,121.84714914316692,36.59749984741211,104.02380485706246,37.81182713111041,71.0314963954606,79.8193477131956,47.59610748291016,32.73070526123047,39.56232394330161,86.2645576307336,58.68271412611525,95.58991649509878,108.54414453852124,46.75855770878584,112.12999725341795,54.21635202705012,7.239505852144558,61.24727539151159,49.04314737992577,57.74329687628,14.267333030700684,,69.31895624646951
2016-01-12,22.915155751142976,89.88999938964844,2.400000095367432,31.262500762939453,57.89871398698113,52.71305634927485,415.5,135.7352812890993,73.97000122070312,20.14884108014288,42.6885063618283,95.25945559656088,121.01595673756503,37.03749847412109,105.61492850977596,38.145573128398816,71.62138695418365,79.61624306289889,48.09772351921732,33.29746857596356,39.75872145847664,87.56450674281609,58.747763425331456,96.7305334780536,108.84444766058569,46.98117167731391,116.11000061035156,55.48511118383699,7.373751047942967,61.91468026695202,50.23912501226583,58.90576159996543,14.106666564941406,,70.65584731039874
2016-01-13,22.862733455024514,90.58999633789062,2.400000095367432,31.04400062561035,56.87119668376602,52.98798882954961,407.7999877929688,135.96192574795998,74.98999786376953,20.07775739356964,43.07847946196299,96.11798694870768,122.253733304379,37.46699905395508,106.18976523092007,38.26337132196753,71.83205322926399,80.02247607345902,48.10580292134021,33.19513663883723,40.13283547273526,88.0041899095546,59.31461053745676,97.27608350545728,108.48257848206411,47.90725478035586,114.43000030517578,55.65061391425208,7.42256791107259,61.890558159212304,51.45229426271089,59.16408781342157,14.133999824523926,,71.36693835770923
2016-01-14,22.32489753699416,88.91999816894531,2.289999961853028,29.012500762939453,56.156388444317656,52.513099966236645,447.0,132.4663314826267,72.41999816894531,19.50116997923672,40.83840374790592,93.0706709326098,118.12470499930352,36.22200012207031,101.04146431485246,35.51484978541059,70.86294025261428,78.89311668217417,47.054047988008975,33.05343990730815,37.70112443983966,85.45211347863238,55.9506969882313,95.54031610578768,107.59705636177344,46.304417291531934,105.6500015258789,54.2439477130234,6.995421928879046,61.19099438448118,49.48195189816958,57.8159793821188,13.480667114257812,,69.35687872536548
2016-01-15,21.923796881499868,86.83999633789062,2.0999999046325684,28.61199951171875,55.4237155686765,51.96322002859329,441.1499938964844,130.13886725654848,69.87000274658203,18.90089428039841,39.79544810950168,90.21203299734624,115.70330857394045,35.4995002746582,97.56760534199196,34.9651366629184,70.11292356571639,78.29997536509909,45.67058966963313,32.2347907545294,36.74713028942064,84.19995612685813,54.84488082164842,94.4410115642094,106.48833561454836,45.69000222162297,102.43000030517578,52.340805126009386,6.717169541697618,59.90445244546097,49.10337508614085,55.563720625522265,13.264666557312012,,68.20963570451487
