Date,aapl,adbe,amd,amzn,axp,cl,cost,crm,csco,dis,fdx,googl,hd,hsy,jnj,jpm,ko,luv,mar,mcd,mmm,msft,nflx,nke,nvda,pg,sbux,tgt
2001-01-02,0.2254616171121597,23.22134017944336,14.375,0.6937500238418579,33.13449478149414,19.02385139465332,28.50650978088379,,23.118406295776367,21.765087127685547,32.262699127197266,,28.11271476745605,19.49199676513672,28.14478302001953,22.501628875732425,16.153615951538086,19.97683525085449,15.51198387145996,18.879478454589844,32.081356048583984,13.472753524780272,,5.285809516906738,1.1443932056427002,21.336360931396484,4.158723831176758,21.44190216064453
2001-01-03,0.2481974512338638,28.78794288635254,16.25,0.878125011920929,35.69837951660156,18.29638290405273,29.5446834564209,,28.67029571533203,24.19966125488281,34.678192138671875,,31.7376708984375,18.36961936950684,27.248022079467773,26.07933616638184,15.738576889038086,19.618616104125977,16.855730056762695,18.98514938354492,31.711265563964844,14.889921188354492,,5.462817192077637,1.4955952167510986,20.28312873840332,4.276132106781006,23.376501083374023
2001-01-04,0.2586180865764618,26.707258224487305,16.6875,0.7749999761581421,34.58156967163086,17.021013259887695,30.19353675842285,,29.0606632232666,24.8813419342041,37.38082885742188,,31.891923904418945,17.060169219970703,26.66166877746582,26.78766441345215,15.290321350097656,20.747011184692383,17.25649070739746,18.597694396972656,32.03089904785156,15.04521942138672,,5.603200435638428,1.6676121950149536,19.654598236083984,4.066031455993652,23.81986427307129
2001-01-05,0.2481974512338638,25.589279174804688,16.0,0.7281249761581421,32.906341552734375,17.532381057739258,28.59303092956543,,25.417234420776367,24.54050636291504,37.00077819824219,,30.69647026062012,17.284652709960938,27.00658226013184,25.21001434326172,15.323524475097656,20.836578369140625,16.926443099975586,18.56246566772461,30.836475372314453,15.258766174316406,,5.359055042266846,1.4179483652114868,20.368078231811523,4.127827167510986,22.368900299072266
2001-01-08,0.2510392367839813,24.62657165527344,16.1875,0.746874988079071,31.23111724853516,17.91590118408203,29.02558898925781,,25.36301612854004,23.46928977966309,36.42646408081055,,29.42386054992676,17.714902877807617,26.972091674804688,25.37100410461425,15.57255744934082,20.299240112304688,17.610111236572266,18.597694396972656,31.021522521972656,15.200522422790527,,5.627617835998535,1.552933692932129,20.80975341796875,4.195800304412842,22.16737937927246
2001-01-09,0.2605126202106476,24.75079345703125,16.75,0.8187500238418579,29.954757690429688,18.24768829345703,28.939075469970703,,25.76423072814941,23.46928977966309,35.70011901855469,,28.3055362701416,17.733598709106445,27.161800384521484,25.081233978271484,15.771770477294922,19.11710929870605,17.562965393066406,18.632917404174805,30.533653259277344,16.09353256225586,,5.804626941680908,1.5839933156967163,20.28312873840332,4.127827167510986,22.24799537658692
2001-01-10,0.2510392367839813,22.732223510742188,17.125,0.824999988079071,29.7951889038086,18.007213592529297,28.16044235229492,,25.156991958618164,23.66405868530273,35.396087646484375,,29.269620895385746,17.50912857055664,26.454721450805664,26.24031639099121,15.705367088317873,19.07530975341797,16.90288543701172,18.70335960388184,30.2308292388916,16.423559188842773,,5.676446914672852,1.6938927173614502,20.062292098999023,4.350284576416016,22.20768547058105
2001-01-11,0.2728278040885925,23.88125801086425,18.1875,0.8500000238418579,30.553037643432617,17.702831268310547,28.59303092956543,,27.15220069885254,22.98236846923828,34.796443939208984,,30.272254943847656,17.153709411621094,25.50621032714844,27.88232612609864,15.240518569946287,18.4185733795166,16.80858039855957,18.42157936096192,30.180376052856445,17.083599090576172,,5.639825820922852,1.8348519802093504,19.773509979248047,4.381180763244629,21.56281471252441
2001-01-12,0.2605126202106476,25.06134033203125,17.8125,0.8843749761581421,30.592924118041992,17.623693466186523,29.804224014282227,,26.414838790893555,24.589195251464844,35.0498046875,,30.31083869934082,17.116291046142578,26.09257698059082,27.46379280090332,15.04129409790039,18.31110382080078,17.020753860473633,18.94991874694824,29.524282455444336,16.617692947387695,,5.5116472244262695,1.7966254949569702,19.11098861694336,4.424436569213867,22.449499130249023
2001-01-16,0.2595653831958771,25.278728485107425,17.125,0.903124988079071,30.832244873046875,17.623693466186523,30.15029525756836,,26.71845436096192,25.757787704467773,35.76769256591797,,30.156572341918945,17.621368408203125,25.98909568786621,27.39939308166504,15.140901565551758,17.803621292114258,17.23292350769043,19.231708526611328,30.55047607421875,16.326488494873047,,5.438400268554688,1.6556675434112549,19.552669525146484,4.430614471435547,23.13468360900879
2001-01-17,0.2548282444477081,26.583038330078125,18.5,0.918749988079071,31.550189971923828,17.212785720825195,28.679548263549805,,27.065454483032227,26.00124740600586,36.95008850097656,,28.61404228210449,17.322059631347656,25.299266815185547,27.302806854248047,15.389934539794922,17.433462142944336,17.067907333374023,19.54871368408203,29.6083927154541,16.44297218322754,,5.450611114501953,1.7153955698013306,19.170284271240234,4.430614471435547,23.094383239746094
2001-01-18,0.28324756026268,27.82523727416992,22.6875,0.975000023841858,31.66985893249512,17.31322479248047,28.679548263549805,,29.0606632232666,25.806486129760746,35.0498046875,,27.30288314819336,17.434301376342773,25.93734741210937,26.497892379760746,15.17410945892334,17.839445114135742,17.115053176879883,18.94991874694824,29.3392333984375,17.238908767700195,,5.475024700164795,2.0444982051849365,19.34099578857422,4.492409706115723,22.28828811645508
