Date,aapl,adbe,amd,amzn,axp,cl,cmg,cost,crm,csco,dis,fdx,googl,hd,hsy,jnj,jpm,ko,luv,ma,mar,mcd,mmm,msft,nflx,nke,nvda,pg,sbux,tgt
2003-01-02,0.2243250161409378,12.75907039642334,7.010000228881836,0.9785000085830688,23.82730293273925,16.799474716186523,,20.078271865844727,,9.465970993041992,13.758889198303224,47.06059646606445,,15.519570350646973,21.003990173339844,31.36319160461425,14.297125816345217,12.290435791015623,12.744170188903809,,13.021711349487305,9.53725242614746,35.54973602294922,16.686023712158203,0.817857027053833,4.550131797790527,0.9411258101463318,25.04312515258789,4.192090034484863,20.307159423828125
2003-01-03,0.2258401066064834,13.107951164245604,6.940000057220459,1.0260000228881836,23.911779403686523,16.599632263183594,,19.552261352539062,,9.65334415435791,13.838604927062988,47.009796142578125,,13.336346626281738,20.95741844177246,32.20211410522461,14.578129768371582,12.260286331176758,12.878788948059082,,13.117379188537598,9.28946018218994,35.41510772705078,16.707763671875,0.7728570103645325,4.456367492675781,0.9411258101463318,24.76934814453125,4.176270961761475,19.68051719665528
2003-01-06,0.2258401066064834,13.711016654968262,7.159999847412109,1.034999966621399,24.749988555908203,16.96184539794922,,19.78758430480957,,9.85460090637207,14.548072814941406,49.27981948852539,,13.610817909240724,21.031938552856445,32.508209228515625,15.724596977233888,12.309617042541504,13.040335655212402,,12.987276077270508,9.594877243041992,35.673133850097656,17.012163162231445,0.7928569912910461,4.518546104431152,1.0175786018371582,25.05169105529785,4.245484352111816,19.74578857421875
2003-01-07,0.2250829935073852,14.216136932373049,7.170000076293945,1.0774999856948853,24.418590545654297,16.730775833129883,,20.1059513092041,,10.132195472717283,14.388644218444824,49.084999084472656,,13.386259078979492,20.80217361450196,31.77699089050293,15.645916938781738,12.156153678894045,12.905715942382812,,12.98344612121582,9.60640811920166,35.63949203491211,17.332096099853516,0.7835710048675537,4.506701946258545,1.0145200490951538,24.66669273376465,4.200000286102295,19.54997062683105
2003-01-08,0.2205351293087005,13.528016090393066,6.690000057220459,1.0509999990463257,24.23666954040528,16.61211395263672,,20.278982162475582,,10.021158218383787,14.093689918518066,48.746192932128906,,13.19912338256836,20.62521171569824,31.589933395385746,15.04458236694336,12.076689720153809,12.636472702026367,,12.838035583496094,9.704375267028809,35.25524139404297,16.847549438476562,0.8149999976158142,4.542235851287842,0.9136029481887816,24.29877662658692,4.111018180847168,19.660934448242188
2003-01-09,0.2225060760974884,14.081504821777344,6.909999847412109,1.0724999904632568,24.749988555908203,16.58089256286621,,21.14413070678711,,10.37508773803711,14.412554740905762,48.83935546875,,13.39248752593994,20.87669944763184,32.224788665771484,15.342435836791992,12.202744483947754,12.8518648147583,,13.0064058303833,9.72166347503662,35.81337356567383,17.335201263427734,0.8385710120201111,4.658701419830322,0.9296577572822572,24.46419143676757,4.112995147705078,20.50951194763184
2003-01-10,0.223112091422081,14.285944938659668,7.409999847412109,1.065999984741211,24.8084774017334,16.527809143066406,,21.164884567260746,,10.56246566772461,14.468356132507324,48.576778411865234,,13.46111011505127,20.833229064941406,32.42316818237305,15.224419593811035,12.386345863342283,12.86083698272705,,12.979623794555664,9.934885025024414,35.51329040527344,17.369373321533203,0.8864290118217468,4.69127368927002,0.9457128047943116,24.564002990722656,4.130791664123535,20.36591148376465
2003-01-13,0.2217481136322021,14.236080169677734,7.449999809265137,1.1019999980926514,25.04239082336425,16.502838134765625,,21.123367309570312,,10.604105949401855,14.587931632995604,48.763145446777344,,13.698143005371094,21.05055809020996,31.765644073486328,15.331206321716309,12.539804458618164,12.833919525146484,,12.895435333251951,9.98674774169922,35.49083709716797,17.51535415649414,0.8671429753303528,4.648831367492676,0.9380680918693542,24.581130981445312,4.0833353996276855,20.05258560180664
2003-01-14,0.2214450091123581,14.515317916870115,7.429999828338623,1.1369999647140503,24.97090721130371,16.41852569580078,,21.44866180419922,,10.812297821044922,14.7234468460083,48.50054931640625,,13.748046875,20.98847198486328,31.94704246520996,15.50542163848877,12.531585693359377,12.878788948059082,,13.098246574401855,9.773527145385742,35.89472198486328,17.695512771606445,0.8600000143051147,4.607377529144287,0.9449487328529358,24.62960433959961,4.008192539215088,20.039533615112305
2003-01-15,0.218717023730278,13.946870803833008,7.449999809265137,1.1134999990463257,24.47708320617676,16.331079483032227,,21.07491683959961,,10.534711837768556,14.340810775756836,47.96694946289063,,13.642004013061523,20.92637252807617,31.176124572753903,15.21880054473877,12.304137229919434,12.519797325134276,,12.662017822265623,9.617938041687012,35.62546157836914,17.478084564208984,0.8714290261268616,4.535327434539795,0.9158967137336732,24.49841690063477,4.024012565612793,19.510801315307617
2003-01-16,0.2215960770845413,13.562922477722168,7.199999809265137,1.090000033378601,24.28213882446289,16.861936569213867,,20.901885986328125,,10.340388298034668,14.388644218444824,47.52648162841797,,13.829139709472656,21.16854858398437,30.994747161865234,15.050209999084473,12.515145301818848,12.412099838256836,,12.742372512817385,9.133867263793944,35.521690368652344,17.192319869995117,0.857142984867096,4.492883682250977,0.8539702892303467,24.775053024291992,4.004238128662109,19.70662307739257
2003-01-17,0.2137150317430496,12.894749641418455,6.03000020980835,1.0700000524520874,23.996246337890625,16.7869815826416,,20.811906814575195,,9.806021690368652,14.18935203552246,47.05214309692383,,13.991321563720703,21.21512031555176,31.05709457397461,14.718624114990234,12.358948707580566,12.14285659790039,,12.558701515197754,8.903358459472656,35.429134368896484,15.984041213989258,0.8171430230140686,4.4464945793151855,0.8218603134155273,24.82352828979492,3.972603082656861,19.367185592651367
