Date,aapl,adbe,amd,amzn,axp,cl,cmg,cost,crm,csco,dal,dis,fdx,googl,hd,hsy,jnj,jpm,ko,luv,ma,mar,mcd,mmm,msft,nflx,nke,nvda,pg,sbux,tgt
2004-01-02,0.3225426375865936,19.51839828491211,14.859999656677246,2.595000028610229,31.309282302856445,15.746807098388672,,25.13763427734375,,16.82915496826172,,19.048025131225582,57.69769287109375,,22.03489875793457,24.25962448120117,29.81307411193848,21.486309051513672,14.079627990722656,14.3241605758667,,17.791900634765625,14.508060455322266,47.68157577514648,17.203351974487305,3.916429042816162,6.710231304168701,1.7645152807235718,28.78040885925293,6.507628440856934,24.809410095214844
2004-01-05,0.3360325694084167,19.86783027648925,15.199999809265137,2.6635000705718994,31.584686279296875,15.883270263671877,,25.01998519897461,,17.190034866333008,,19.42624855041504,57.74868392944336,,22.04119682312012,24.37373161315918,29.98618698120117,21.44522857666016,14.096406936645508,14.369089126586914,,17.888286590576172,14.648513793945312,48.590919494628906,17.635784149169922,3.992856979370117,6.704278945922852,1.821855068206787,28.9228744506836,6.606498718261719,24.59894371032715
2004-01-06,0.3348196446895599,19.88780212402344,15.609999656677246,2.65149998664856,31.63714027404785,15.987995147705078,,25.30375862121582,,17.391286849975586,,19.47453117370605,57.45122528076172,,22.280292510986328,24.45929718017578,29.853445053100582,21.985036849975582,14.037684440612791,14.59375286102295,,17.803462982177734,14.824088096618652,48.442230224609375,17.698453903198242,4.257856845855713,6.698322772979736,1.8960133790969849,28.77750968933105,6.687572479248047,25.368480682373047
2004-01-07,0.342398464679718,19.694549560546875,15.65999984741211,2.595000028610229,31.728923797607425,16.073667526245117,,25.66364479064941,,17.738285064697266,,19.79642677307129,56.8818473815918,,22.588605880737305,24.370555877685547,29.86500358581543,22.307729721069336,13.948200225830078,14.88131046295166,,17.788036346435547,14.870906829833984,47.60722732543945,17.679656982421875,4.445713996887207,6.721152305603027,1.912833571434021,28.521648406982425,6.659890651702881,25.17116355895996
2004-01-08,0.3540695011615753,18.975481033325195,15.93000030517578,2.51200008392334,31.63714027404785,16.11176109313965,,25.78822135925293,,18.27959251403809,,20.08613014221192,56.41439437866211,,22.39984893798828,24.116992950439453,30.00348854064941,22.68911361694336,14.0153169631958,14.423008918762209,,17.97309684753418,14.923583030700684,47.28693008422852,17.6483211517334,4.432857036590576,6.788640022277832,1.9197137355804443,28.82111358642578,6.60056734085083,24.8357162475586
2004-01-09,0.3486126363277435,18.536046981811523,15.539999961853027,2.5794999599456787,31.40109634399414,16.022899627685547,,26.27270698547364,,18.37674903869629,,20.01370620727539,55.27557373046875,,22.45646476745605,23.72396278381348,29.663009643554688,22.74192237854004,13.867111206054688,13.731069564819336,,17.791900634765625,14.71874713897705,47.12679290771485,17.334962844848633,4.428571224212647,6.7360358238220215,1.94723641872406,28.969379425048828,6.545198917388916,24.368730545043945
2004-01-12,0.3596775829792022,18.655893325805664,15.770000457763672,2.6475000381469727,31.276519775390625,15.981650352478027,,26.09275245666504,,18.75843620300293,,20.021753311157227,57.95267105102539,,22.148162841796875,23.933149337768555,30.234336853027344,22.759519577026367,13.984552383422852,13.767009735107422,,17.884428024291992,14.69533634185791,47.567161560058594,17.278553009033203,4.574999809265137,6.83329963684082,1.969407081604004,29.14676094055176,6.596612453460693,24.559465408325195
2004-01-13,0.3655885457992553,18.571001052856445,15.1899995803833,2.745500087738037,31.38796806335449,16.051464080810547,,26.2034912109375,,18.661285400390625,,19.860809326171875,58.64106369018555,,22.072654724121094,24.19939422607422,30.153549194335938,22.824068069458008,13.900662422180176,13.793970108032228,,17.811174392700195,14.42027759552002,47.40131378173828,17.190814971923828,4.664999961853027,6.858110904693604,1.8677257299423216,28.986835479736328,6.547179698944092,25.15143203735352
2004-01-14,0.3668014109134674,18.551029205322266,15.199999809265137,2.789999961853028,31.964984893798828,16.00068473815918,,25.635963439941406,,19.015214920043945,,20.037851333618164,58.67506408691406,,22.31805419921875,24.27228355407715,30.00926971435547,23.01181983947754,13.925832748413086,13.919772148132324,,17.942256927490234,14.671927452087402,47.87029647827149,17.360027313232422,4.650000095367432,6.866053104400635,1.853964567184448,29.082788467407227,6.650002479553223,25.223783493041992
2004-01-15,0.3463394939899444,19.20018768310547,15.899999618530272,2.809000015258789,32.57477951049805,16.200618743896484,,25.6567325592041,,18.84866142272949,,19.97347068786621,58.91302108764648,,22.292877197265625,24.04725456237793,29.91692543029785,22.83579635620117,13.906253814697266,13.919772148132324,,18.003931045532227,14.71874713897705,48.21346282958984,17.259756088256836,4.627857208251953,6.853151321411133,1.857023000717163,28.93158531188965,6.711302280426025,25.68417930603028
2004-01-16,0.3443686068058014,19.12528419494629,16.760000228881836,2.7860000133514404,32.725589752197266,16.257740020751953,,25.6567325592041,,20.21580696105957,,19.99761199951172,59.43996047973633,,21.98456382751465,23.89829063415528,29.11476707458496,23.041156768798828,13.948200225830078,13.991665840148926,,17.926834106445312,14.812389373779297,48.88834381103516,17.42896842956543,4.682857036590576,6.883917331695557,1.885310173034668,28.783323287963867,6.833901405334473,25.75652885437012
2004-01-20,0.3445205986499786,19.225156784057617,17.3799991607666,2.8304998874664307,32.941951751708984,16.21013641357422,,25.193004608154297,,20.02843475341797,,19.69181251525879,58.81101608276367,,22.02860641479492,23.771503448486328,29.72071647644043,22.935546875,13.96218204498291,13.596267700195312,,17.895984649658203,14.730448722839355,45.98865509033203,17.610721588134766,4.839285850524902,6.933543682098389,1.938062071800232,28.68736267089844,6.887289047241211,24.94095039367676
