Date,aapl,abnb,adbe,amd,amzn,axp,cl,cmg,cost,crm,csco,dal,dis,fdx,googl,hd,hlt,hsy,jnj,jpm,ko,luv,ma,mar,mcd,mmm,msft,nflx,nke,nvda,pg,sbux,tgt,tsla,uber,v
2019-01-02,37.215238313964655,,219.9100036621093,18.010000228881836,73.26000213623047,87.79691233243712,52.85606174263563,427.8299865722656,188.05723163857385,133.39999389648438,36.59312839938914,47.51890516056418,106.79483638839106,147.2902403833103,51.36000061035156,151.0517863208622,69.6695634417479,96.517505893808,112.80740082818002,83.05585459163954,40.7967986322917,44.29270882852192,181.0071616271047,103.32387228811275,157.1868508830473,156.01113817249637,94.72425430156969,259.2799987792969,69.40082243386166,32.40914826209346,80.7141980819412,57.956059852024055,58.42956877110498,20.406667709350582,,125.9089236710406
2019-01-03,34.59390944990319,,220.8800048828125,18.420000076293945,76.00050354003906,88.98231750715166,52.81145534472522,441.9299926757813,191.0586858273433,133.47999572753906,36.89390320308063,46.80491666521574,107.1702544155368,150.328580140145,52.53350067138672,152.94762330967964,69.43302921962717,95.65395288975864,112.81618405538806,86.07776919841078,40.69249571313704,44.70629852557981,182.6338447585325,102.96564749928328,157.22267641996496,156.39323740254326,95.24761082571122,270.20001220703125,69.8394056497161,33.190611466621974,80.6343910631948,57.75584152236759,59.390524259029846,20.46666717529297,,127.08086871285386
2019-01-04,34.72605547759975,,219.83999633789065,17.549999237060547,76.5,89.52678324258426,52.74007931115383,444.010009765625,190.47714177177923,133.5,36.50141585322602,44.74013547715778,106.63677066975058,148.8512327895445,52.12799835205078,151.47013354513922,67.42249171899768,96.63567873442126,111.9181734786646,86.48790988080712,40.63166166674285,44.23499553847799,180.05259967397072,99.85780978340644,157.7424775195876,155.12237176301056,94.88603827677817,281.8800048828125,70.03008614933408,32.48359093737989,80.5457325646636,56.79111763863816,59.48932285766944,20.39999961853028,,126.33505768553728
2019-01-07,35.7279844576961,,229.9499969482422,19.440000534057617,80.1155014038086,91.7797186031568,53.03451505446829,454.6099853515625,192.7656900660621,141.02000427246094,37.382346960541526,46.312846641192834,108.5829896999076,153.2089611954932,54.04850006103516,154.71881800998352,68.69385340976066,96.10844525377482,112.36716397997938,87.63980548051224,41.344346071569646,46.0144084666463,185.68259424886244,103.9919177218417,159.63327909021925,158.95160671512335,96.71294843221344,302.1000061035156,71.26002362024728,34.359067400117176,81.49447798211018,57.65572320153376,60.00121818150031,21.44799995422364,,130.21889440329613
2019-01-08,35.934607142582536,,232.6499938964844,21.190000534057617,83.2344970703125,92.64335453868206,53.55200689322968,493.1900024414063,195.70148209314155,144.72999572753906,38.00159082946897,46.77596556790401,110.45017730227728,156.7490903664693,54.29999923706055,158.9377051566524,70.7241150306235,96.26299117092852,112.85140766185758,88.68698817460421,41.06622982972775,46.64921805126908,185.2912812188644,105.39576706250662,163.05635794925976,160.3138911664918,98.04509054398972,319.9800109863281,73.25272159748666,36.39085078062772,82.19495543266268,58.19269114397666,63.02778256879387,22.797332763671875,,133.62812802989248
2019-01-09,36.35026166517906,,234.009994506836,20.88999938964844,82.64900207519531,92.69030600974084,55.29187268544816,497.1900024414063,196.17043008707947,146.88999938964844,38.26325378538321,45.444471033916905,110.4501707505426,155.77345899088988,54.39950180053711,158.31467524278108,70.87196275267874,96.7174938579673,114.30409136603215,87.97141348769314,40.91847222955284,45.812412938008734,189.5845189743252,106.4317253400424,161.80184461242322,160.5214983876705,98.82534044004618,317.7099914550781,73.38618376589677,35.202530989426094,82.18608751262644,57.92876240516989,62.30930497013808,22.36666679382324,,133.94775184066324
2019-01-10,36.64099604471957,,233.7700042724609,19.76000022888184,82.05049896240234,92.4180772508488,54.444250846333645,495.7900085449219,195.2324684867555,143.77000427246094,37.600389165643,45.03923789357116,110.63786962537463,157.09289126819797,53.74700164794922,158.45706617948875,69.48230408139263,96.20844771979516,112.41998650598312,87.28201525710547,40.55343691045088,45.67775851098548,188.3453182614964,104.87296265347932,161.1566542678372,158.54457959988895,98.21634237486316,314.57000732421875,72.1181123958053,35.17773228055379,80.5900570688207,57.89235919953739,61.02503764343029,22.293333053588867,,132.50459429975012
2019-01-11,36.73230324852945,,235.7100067138672,19.46999931335449,82.02749633789062,91.88299238668502,55.550621264962246,507.3900146484375,197.00518085617776,146.55999755859375,37.600388159605714,46.525107618138,110.82557515587403,157.48312343142484,53.494998931884766,158.36809796540504,70.45800656849322,97.03564091926656,113.57334767600705,87.16858614175757,41.10099547680922,46.793485729704976,191.3115935566267,105.79270683540692,161.82869052178717,159.35032297667118,98.1878206784604,330.9599914550781,72.78551611240468,35.80538164792141,81.28167210039298,56.69100486180125,61.33938049408458,22.80599975585937,,133.4150442367842
2019-01-14,36.24455897686072,,235.3300018310547,19.959999084472656,80.75,91.77035397432492,55.1491090461906,502.8500061035156,196.47057295310128,145.75,37.57423127801586,45.89795892160381,110.30198310054044,157.83617709862648,52.66699981689453,158.06544920572398,70.36931029401327,96.735658297276,113.34443396983755,86.27848536799094,41.06623185996219,46.34143076437224,189.66261280322604,105.17309161390726,162.57248426697848,158.35355446693947,96.96034300056824,334.239990234375,71.94650100792842,36.39829021089381,81.13093032659583,57.6557284227113,62.10274111169571,22.82533264160156,,132.67895303373618
2019-01-15,36.10520059797336,,237.8999938964844,20.440000534057617,81.5999984741211,92.5682676492643,55.00635642502252,503.0,197.0051337607288,146.35000610351562,37.79228189253406,46.28389750289449,110.94413329979164,159.32280232606297,52.9005012512207,156.72146606536216,70.16233552447038,96.29026687845445,113.15073762128723,86.29593144316367,40.7533388396572,47.13975201196885,190.48220287775945,104.83423638037068,162.6173281843387,156.85839803343396,97.54077501725236,349.6000061035156,72.64250799418339,37.64861185997928,80.82059489264473,57.86505707839767,61.75250345731982,22.33333206176757,,132.6498976645507
