Date,aapl,adbe,amd,amzn,axp,cl,cmg,cost,crm,csco,dal,dis,fdx,googl,hd,hsy,jnj,jpm,ko,luv,ma,mar,mcd,mmm,msft,nflx,nke,nvda,pg,sbux,tgt,tsla,v
2007-01-03,2.615808923019463,40.720001220703125,20.07999992370605,1.934000015258789,47.12360140656912,22.262827387775275,56.900001525878906,37.919659333755845,9.142499923706056,19.0568518555325,,28.325378308991453,93.346689060218,11.661662101745604,26.949798369057334,33.279502868652344,40.61402950590739,31.20989881807076,14.589524944958066,13.947520339934869,9.1761338020688,37.486992116342186,27.201758011628986,47.237372524320165,21.516482688324093,3.7142860889434814,9.916405889577108,5.66816277388212,39.321539555101296,14.079099930970433,38.89234330442162,,
2007-01-04,2.547905024410425,39.880001068115234,19.65999984741211,1.9294999837875368,46.39186083393346,22.094045352087647,56.5,37.983632514956405,9.0024995803833,19.209527336752373,,28.31709836023532,94.2222082348812,11.736737251281738,26.75403143077382,33.24611048062537,40.472770196125175,31.242412295271656,14.60762559555778,13.983607179860432,8.931868189655196,36.779702949340646,27.264060891468624,47.76745290364832,21.36540221017069,3.772856950759888,9.883019281235578,5.496910348710843,39.704139161092,13.988140560205863,38.37467834725928,,
2007-01-05,2.600045743430225,40.77999877929688,19.540000915527344,1.9359999895095823,45.9451293140958,22.195319568604702,55.58000183105469,38.48828296446791,9.375,19.736953721783703,,28.375050612951178,92.91750473174302,12.074575424194336,26.38860425731285,33.58024477069532,41.025522209357774,31.32042167728175,14.631756998163556,14.254258900102286,9.30886580770226,36.07239730003045,27.04594935523186,47.45670697520736,21.315046926196548,3.619999885559082,9.926527355267387,5.3608239221048,39.41410933895445,13.889269815343216,38.65701958577596,,
2007-01-08,2.6058055571745347,40.40999984741211,19.709999084472656,1.9110000133514404,45.46757515351298,22.063653347354137,55.0099983215332,37.79171450850602,9.899999618530272,19.806356959143297,,28.30881521267024,92.70290543052316,12.20445442199707,26.062347162481213,33.433216833782424,40.84740829467773,30.93030629916766,14.483935246886622,13.96556399270306,9.126358139302113,35.49869030231725,27.108259317208447,47.17034953172072,21.32942815826656,3.5457139015197754,9.96700480888804,5.165109667986962,39.24132417175915,13.806218636880288,38.44861938484681,,
2007-01-09,2.6206587367009235,40.5,19.450000762939453,1.8799999952316284,46.13769913065307,22.29658657994081,56.040000915527344,38.11868142249004,9.9975004196167,19.931268871058062,,28.56548635407508,93.38958700405418,12.148398399353027,25.77524241566968,33.84087411869165,40.902673116060335,31.144889517494963,14.64382388118062,14.335454262015112,9.319007132641824,35.78161473534073,27.332623792650537,47.52373485182641,21.58121434703101,3.427143096923828,9.97003819954094,5.192631381444437,39.11789241052819,13.841813584305246,38.62341056296603,,
2007-01-10,2.8722679253089014,39.150001525878906,19.63999938964844,1.874500036239624,45.62932126045707,22.12779985920552,55.72999954223633,38.14709700884734,9.949999809265137,19.61898640294834,,28.27569634228525,92.28232644196038,12.122873306274414,25.997098022026453,33.48667538284707,40.87812078612376,30.8652913598432,14.62874483290862,14.434690597139191,9.743934595721583,36.33174401178678,27.282768368297567,47.10332770838872,21.43734177497042,3.424285888671875,10.041881476527958,5.030550515839333,39.04384881690889,13.723169093354432,38.95284005659877,,
2007-01-11,2.908341637677869,39.400001525878906,19.799999237060547,1.8585000038146973,45.6370194323692,22.29321407340352,56.34999847412109,38.67307569327606,10.045000076293944,19.965976435071056,,28.640010722890423,92.56555160577086,12.442441940307615,25.87311048397168,33.64039814812475,40.77985659260096,31.209894176305337,14.707179902376938,14.443714802289684,9.705191088015484,36.66182415268636,27.55695664503889,47.5542181498407,21.408567875091503,3.42285704612732,10.108663135866603,5.334833110234547,39.593077319010845,13.644074311173398,39.22848281603517,,
2007-01-12,2.867415896043107,39.650001525878906,18.6299991607666,1.868000030517578,45.7140356472279,22.37760028220903,57.41999816894531,39.08532962480047,10.524999618530272,19.80636376275283,,28.971202077358893,92.28227079146632,12.562312126159668,26.068869111533623,33.86090725350799,40.810570481466485,31.27491452849878,14.66192224061765,14.551971044565851,9.7559301335941,36.74039127567772,27.837385700791486,47.77354684493704,22.048807385140982,3.4085710048675537,10.073250233298394,5.235444585753263,39.74117269924296,14.174015006732546,40.20330447847502,,
2007-01-16,2.9004591330926486,40.25,18.14999961853028,1.919999957084656,45.32893077722338,22.867086401510765,58.290000915527344,39.73213059514751,10.672499656677246,19.84106146102557,,28.98777029631289,96.05050410311082,12.701451301574709,26.101504462031123,33.8141548611547,40.93338681857187,31.31393855093063,14.625719117169696,14.68730185117739,9.714416645708138,36.960454497289255,27.644207050848863,48.425462449937946,22.48762712912584,3.464286088943481,10.068188099144429,5.428103475735555,40.05589447707977,14.237293646159562,40.485681010225214,,
2007-01-17,2.957449833534425,40.02999877929688,17.899999618530273,1.934999942779541,45.56771778142588,22.4856331766333,60.400001525878906,39.80321223352139,10.762499809265137,19.33444796901277,,28.97948220583573,95.38096926415736,12.597347259521484,26.22548571210173,33.87428350346028,40.90267623065482,31.632538601128303,14.640811217037813,14.560995933480768,9.871249237940438,37.259077795478746,27.775084274836388,48.33406664197605,22.4876258707309,3.259999990463257,10.098547261487468,5.321070918023023,40.433857552082166,14.340118586218676,40.96301213741001,,
