Date,aapl,adbe,amd,amzn,axp,cl,cmg,cost,crm,csco,dal,dis,fdx,googl,hd,hsy,jnj,jpm,ko,luv,ma,mar,mcd,mmm,msft,nflx,nke,nvda,pg,sbux,tgt
2004-01-02,0.326634687261092,19.7879623093316,15.100000381469728,2.638000011444092,31.75515226946084,15.851532517324424,,25.73977401179192,,16.9054938267446,,18.90317450102929,57.536215442789526,,22.494221025103474,24.402252608343343,29.81307411193848,21.451106262767567,14.205464009188184,14.575776714001044,,17.76491436115664,14.601698509915613,48.61381560951924,17.284824515722175,4.107142925262451,6.81841245313948,1.801977398304756,28.97229870321729,6.614408305100867,25.289549475558232
2004-01-05,0.324664626438882,19.61823441395983,15.050000190734863,2.5999999046325684,31.525673758851543,15.81028035466993,,25.22069675815172,,16.933259444070103,,19.04802377057753,58.13112945244376,,22.06636576639637,24.27864456866526,30.00927156460296,21.50976997971905,14.079628444734617,14.324157468844598,,17.79190521420389,14.619251211704086,47.80166177139175,17.378830738829322,3.892857074737549,6.694353427285201,1.791274446119588,28.780409966559294,6.535312139940161,24.82914671600477
2004-01-06,0.3372446559363865,19.88780212402344,15.210000038146973,2.6554999351501465,31.44043093971499,15.867402549365613,,24.985383296039856,,17.231670405456853,,19.31358467365668,57.75717907711331,,22.07894580568181,24.37372081258337,29.84190276483133,21.79728118268181,14.043277271498994,14.288218484821655,,17.791897663646797,14.61925444070136,48.32784653440821,17.66711859160181,3.9464290142059326,6.694352717387829,1.8165027948821235,28.730990121938472,6.806216279346517,24.92780565668993
2004-01-07,0.3349715046034489,19.694549560546875,15.779999732971191,2.608999967575073,31.76170915104977,16.026064869132163,,25.317587030086468,,17.467630898297152,,19.69985917154447,57.4512592061566,,22.29916789322481,24.42126960143408,29.80729431454581,22.0026263668621,14.037683379800294,14.602735677636876,,17.69551067257814,14.829940322706916,48.11052614305975,17.65458896515186,4.307143211364746,6.700310075754596,1.8746071899352457,28.63794507426916,6.655935756795425,25.223780311769968
2004-01-08,0.3461875885291126,19.679571174418875,15.949999809265137,2.6045000553131104,31.78794781083886,16.08319971941958,,25.885119743238768,,17.932599491863744,,19.7964273294888,56.9158212824375,,22.58232020141861,24.32618344107468,29.864983301620008,22.35467378115677,13.928630727479536,14.872323859708075,,17.90755740077617,14.82409243251252,47.607207845510814,17.79246553412449,4.539286136627197,6.7459628699943845,1.9365328668553363,29.013003438540707,6.531357826085289,25.71706860562741
2004-01-09,0.3520986425345026,18.895582995764663,15.739999771118164,2.4885001182556152,31.37486918966085,16.035592626510937,,25.8297534332963,,18.02975603725411,,19.917138592625594,56.26142006089328,,22.273996010716417,24.072611058954365,29.95156031245515,22.530698964251474,14.01531753775399,14.29720670803971,,17.849728814668055,14.794828764361062,47.0981948079417,17.566848269145694,4.3371429443359375,6.785660367443844,1.9067164307018687,28.748416053078,6.564973385747943,24.704171972604502
2004-01-12,0.3524025479934287,18.625931355751284,15.699999809265137,2.5804998874664307,31.40110307158193,16.051467321179036,,26.161962944157946,,18.44614207098417,,19.94128004615625,56.516387841527,,22.418722971758086,23.723958955542905,29.71494700221937,22.58936537855977,13.841938936466027,13.838900058241125,,17.79190386619819,14.6485173152706,47.20684916622094,17.3412248230076,4.445713996887207,6.768787577448346,1.954116452202754,28.922891533265133,6.523448798868888,24.566041558052905
2004-01-13,0.3743795247838557,18.531053666439146,15.84000015258789,2.633500099182129,31.34206913596673,16.105412665307313,,25.97509184643061,,18.7862031074671,,19.965424117305503,58.55607793815864,,22.29916796692352,24.078952791574338,30.240115287920915,22.765393031988577,13.914643965703526,13.758024944226944,,17.865146931348892,14.642668870867125,47.49854469943706,17.26602020021069,4.598570823669434,6.836275987123886,1.9594684470545969,29.07987237834577,6.588704969778016,24.76337377144087
2004-01-14,0.3698324658610319,18.77074460341435,15.350000381469728,2.7309999465942383,31.44043048661804,16.137144467835796,,25.71209658129243,,18.75150083931357,,20.02175698884386,58.972517485336,,22.07266296109396,24.193045231493844,30.113148131791743,22.92967703907074,13.903462487106552,13.80295019855278,,17.869007784667836,14.513912806033902,47.5442982061254,17.247218283334398,4.642857074737549,6.848188235237679,1.876900302415058,29.001381435828726,6.5649741416166325,25.15801191647812
2004-01-15,0.3472485601081251,18.30134964681808,15.25,2.736500024795532,32.06333866914766,16.032424654054346,,25.60136466797545,,18.980519145730582,,20.06199113245419,58.81103429637288,,22.355797143195453,24.27862918283517,30.04965843828075,23.38146178732508,13.813974783608288,13.910785646549291,,17.96537788950319,14.71874713897705,47.87030303217422,17.26602219520013,4.637143135070801,6.865060729949464,1.8402027789623507,29.04788194561908,6.648025475225469,25.256659252543194
2004-01-16,0.3469455463594132,19.47483285799017,16.010000228881836,2.813499927520752,32.57478220258401,16.3275569772696,,25.85744677535901,,19.36220469451605,,20.06199092835101,59.06601528649608,,22.52568400648119,24.040918719512582,29.714953079640026,22.88273754795692,13.906254530715078,14.000652343911424,,18.01935982804071,14.6894897976046,48.5852186997508,17.3662966019836,4.639286041259766,6.877962628266657,1.8761359233323904,29.065342062966067,6.705369976958826,25.81572424599576
2004-01-20,0.3436106975710602,19.619647471344948,17.239999771118164,2.7785000801086426,32.68623286513164,16.34342199243095,,25.73977383253169,,20.368487706899536,,19.95737539226317,59.490914846030655,,21.99714644429931,23.819046939015777,29.31674513258382,23.117436130581385,13.89786609346401,13.928760592135308,,17.888274964906568,14.876758304466184,49.30010879117016,17.53551513470441,4.69857120513916,6.902776696769517,1.9082457053132904,28.608863717180924,6.812147587098176,25.756531138510333
