Date,aapl,adbe,amd,amzn,axp,cl,cmg,cost,crm,csco,dal,dis,fdx,googl,hd,hlt,hsy,jnj,jpm,ko,luv,ma,mar,mcd,mmm,msft,nflx,nke,nvda,pg,sbux,tgt,tsla,uber,v
2016-01-04,24.00906562805176,91.97000122070312,2.7699999809265137,31.84950065612793,60.12839889526367,53.91277694702149,448.80999755859375,139.07395935058594,76.70999908447266,20.859703063964844,44.13050079345703,97.1557846069336,129.59019470214844,37.97200012207031,109.1887435913086,41.404544830322266,74.14949035644531,81.63932800292969,51.4714241027832,33.376190185546875,39.24432373046875,90.44192504882812,60.75495529174805,97.18515014648438,113.0485610961914,48.797733306884766,109.95999908447266,56.56081008911133,7.900970458984375,63.01627349853516,50.12725830078125,59.37398147583008,14.894000053405762,,71.774658203125
2016-01-05,23.40741539001465,92.33999633789062,2.75,31.68950080871582,59.203224182128906,54.15439224243164,449.0299987792969,139.41390991210938,77.05000305175781,20.76491928100586,44.04888916015625,95.19342041015624,130.69252014160156,38.07649993896485,108.65557098388672,41.42417144775391,73.87982177734375,81.9806137084961,51.56043243408203,33.494258880615234,39.71197509765625,90.6136245727539,60.95010757446289,98.52415466308594,113.54134368896484,49.02035140991211,107.66000366210938,57.35147857666016,8.027896881103516,63.2172966003418,50.46282196044922,60.415340423583984,14.895333290100098,,72.31507873535156
2016-01-06,22.949337005615234,91.0199966430664,2.509999990463257,31.63249969482422,57.559173583984375,53.43788528442383,426.6700134277344,138.123779296875,76.29000091552734,20.54376220703125,44.37537384033203,94.6839599609375,127.18690490722656,37.96649932861328,107.53097534179688,39.264610290527344,73.93042755126953,81.56620788574219,50.816104888916016,33.313209533691406,40.07672500610352,89.2276840209961,59.11946487426758,97.86290740966795,111.25448608398438,48.129878997802734,117.68000030517578,56.53322219848633,7.69594144821167,62.60619354248047,50.015419006347656,59.80181121826172,14.602666854858398,,71.36695861816406
2016-01-07,21.980770111083984,89.11000061035156,2.2799999713897705,30.39699935913086,57.04095077514648,52.496429443359375,416.0,134.95945739746094,74.30000305175781,20.069860458374023,42.62503433227539,93.87259674072266,121.6032257080078,37.04999923706055,104.46533966064452,37.79219818115234,72.21969604492188,80.61560821533203,48.76113510131836,32.76219177246094,39.2349739074707,87.59318542480469,57.4467887878418,95.59818267822266,108.5441665649414,46.455787658691406,114.55999755859376,55.02542495727539,7.390837669372559,62.059417724609375,48.77642440795898,59.6403694152832,14.376667022705078,,69.96366119384766
2016-01-08,22.097002029418945,87.8499984741211,2.140000104904175,30.352500915527344,56.85332107543945,52.113189697265625,413.2900085449219,132.5970916748047,73.2300033569336,19.572254180908203,42.27132797241211,93.63673400878906,121.71166229248048,36.545501708984375,103.21574401855467,37.59586715698242,71.56239318847656,79.75434875488281,47.668922424316406,32.67560577392578,39.478153228759766,85.92045593261719,58.21808242797852,95.44942474365234,108.17457580566406,46.5982666015625,111.38999938964844,54.12442398071289,7.232183933258057,61.08646011352539,48.72480392456055,57.62223052978516,14.06666660308838,,69.1008529663086
2016-01-11,22.45480155944824,89.37999725341797,2.3399999141693115,30.886999130249023,57.22859191894531,52.329811096191406,411.1000061035156,134.87228393554688,73.18000030517578,19.95928192138672,42.38922882080078,94.2688446044922,120.13951873779295,36.65349960327149,104.7818832397461,37.77256393432617,70.99778747558594,79.27497863769531,47.59610748291016,32.73070526123047,39.31915283203125,86.57998657226562,58.6920051574707,96.44952392578124,108.15145874023438,46.57155990600586,114.97000122070312,54.74959564208984,7.244387626647949,61.64931869506836,49.748680114746094,58.46175765991211,13.856666564941406,,70.08695220947266
2016-01-12,22.78069496154785,89.81999969482422,2.390000104904175,30.894500732421875,57.54131317138672,52.80470275878906,404.260009765625,136.04037475585938,74.45999908447266,20.0224666595459,42.5887451171875,95.72174072265624,121.71166229248048,37.266998291015625,106.2063980102539,38.40079116821289,71.63824462890625,79.81936645507812,47.701290130615234,33.15577697753906,39.91772079467773,87.40201568603516,59.76994705200195,97.06941986083984,108.45945739746094,46.99898147583008,116.58000183105467,55.10816192626953,7.366428852081299,61.52067947387695,51.159759521484375,59.2205924987793,13.998000144958496,,70.88340759277344
2016-01-13,22.194992065429688,88.30000305175781,2.25,29.090499877929688,56.156394958496094,52.41312026977539,428.2799987792969,132.60580444335938,72.3499984741211,19.43008804321289,40.75677490234375,92.91028594970705,117.7181167602539,35.97850036621094,101.13311004638672,36.39830017089844,70.45001983642578,78.82810974121094,46.39062881469727,32.943241119384766,37.78528594970703,85.25137329101562,56.006446838378906,95.15186309814452,106.8117218017578,45.98384094238281,106.55999755859376,54.04168319702149,7.141872406005859,60.9899787902832,49.79170989990234,57.83210754394531,13.354000091552734,,69.30946350097656
2016-01-14,22.680418014526367,89.80000305175781,2.2100000381469727,29.64999961853028,56.54953002929688,52.92967224121094,454.2999877929688,133.52981567382812,73.06999969482422,19.477474212646484,41.11954879760742,93.50465393066406,118.9920654296875,36.56949996948242,99.65026092529295,36.12345123291016,71.26744079589844,80.34748077392578,47.08641052246094,32.96685028076172,37.85076904296875,86.70426177978516,56.443206787109375,96.39166259765624,108.70581817626952,47.29283905029297,107.05999755859376,53.7934455871582,6.997862815856934,61.231201171875,50.74674987792969,56.83919525146485,13.745332717895508,,69.97317504882812
2016-01-15,22.1357421875,89.16999816894531,2.0299999713897705,28.50900077819824,56.20999526977539,52.77970123291016,475.9400024414063,131.09776306152344,70.86000061035156,18.656044006347656,40.35773468017578,88.58930969238281,114.67330932617188,35.52450180053711,99.32535552978516,34.84734344482422,70.21405029296875,78.81184387207031,46.147926330566406,32.6677360534668,37.19606399536133,84.7925796508789,55.33738708496094,95.20143127441406,106.78862762451172,45.405052185058594,104.04000091552734,52.920021057128906,6.617095470428467,60.2904167175293,49.9035530090332,56.57279586791992,13.666000366210938,,68.10533905029297
