Date,aapl,adbe,amd,amzn,axp,cl,cmg,cost,crm,csco,dal,dis,fdx,googl,hd,hsy,jnj,jpm,ko,luv,ma,mar,mcd,mmm,msft,nflx,nke,nvda,pg,sbux,tgt,v
2006-01-03,2.2659828662872314,38.52000045776367,32.400001525878906,2.378999948501587,39.99642181396485,18.141307830810547,,35.14114761352539,8.5600004196167,12.110057830810549,,20.02151679992676,88.40104675292969,10.891641616821287,26.431894302368164,35.957618713378906,36.98032379150391,25.13287353515625,11.99743938446045,14.804509162902832,,26.36006736755371,20.3912353515625,47.06819534301758,19.03264045715332,3.721429109573364,8.631690979003906,2.9220011234283447,35.523433685302734,12.208477973937988,36.48161315917969,
2006-01-04,2.2726523876190186,38.41999816894531,32.560001373291016,2.362499952316284,39.607608795166016,18.35606002807617,,35.2537956237793,8.992500305175781,12.387651443481444,,19.685096740722656,89.7015609741211,11.142142295837402,25.944787979125977,35.92485046386719,37.55033874511719,24.98781013488769,11.973976135253906,15.264058113098145,,26.648998260498047,20.5737419128418,46.8302116394043,19.12484169006348,3.5714290142059326,8.59151840209961,3.003805637359619,35.58990478515625,12.524863243103027,36.43495178222656,
2006-01-05,2.254767656326294,38.06999969482422,33.68000030517578,2.382499933242798,40.02692794799805,18.08184051513672,,35.04258346557617,9.015000343322754,12.734642028808594,,20.029726028442383,88.78604888916016,11.292291641235352,25.68842506408692,35.93796920776367,37.394325256347656,25.063495635986328,12.032636642456056,15.309114456176758,,26.58262252807617,20.598073959350582,46.40182113647461,19.139009475708008,3.561429023742676,8.643742561340332,3.0718467235565186,35.475093841552734,12.501134872436523,36.32827758789063,
2006-01-06,2.3129708766937256,39.0,33.779998779296875,2.3935000896453857,40.1641731262207,18.1115779876709,,35.09187698364258,9.962499618530272,13.026118278503418,,20.300506591796875,87.77643585205078,11.653153419494627,25.88069534301757,35.66264724731445,37.562347412109375,25.24008750915528,12.147042274475098,15.408225059509276,,26.758331298828125,20.719736099243164,46.78260803222656,19.08227157592773,3.575714111328125,8.616626739501953,3.1223058700561523,35.4388313293457,12.505088806152344,36.221622467041016,
2006-01-09,2.305391788482666,38.380001068115234,33.25,2.3540000915527344,41.16294097900391,18.326322555541992,,35.2326545715332,9.63249969482422,13.227371215820312,,20.51385307312012,88.05883026123047,11.684184074401855,26.16269493103028,35.69542694091797,37.79636764526367,25.65003204345703,12.20570468902588,15.435259819030762,,27.055084228515625,21.115154266357425,47.014644622802734,19.04682922363281,3.5714290142059326,8.737140655517578,3.2094614505767822,35.70473098754883,12.378532409667969,36.26828384399414,
2006-01-10,2.4512035846710205,38.61000061035156,34.93000030517578,2.282500028610229,41.04095077514648,18.141307830810547,,35.19746780395508,9.5625,13.164915084838867,,20.776430130004883,87.26309204101562,11.755756378173828,26.790809631347656,35.505306243896484,37.86236953735352,25.68787384033203,12.21743869781494,15.363170623779297,,26.97308921813965,21.13340187072754,46.72311782836914,19.146108627319336,3.632857084274292,8.755215644836426,3.210225820541382,35.565731048583984,12.26779842376709,36.2282600402832,
2006-01-11,2.543358564376831,39.33000183105469,36.27000045776367,2.246500015258789,40.81983947753906,18.06531524658203,,35.68317031860352,9.567500114440918,13.463327407836914,,20.97335624694824,87.07485961914062,11.802553176879885,27.52788734436035,35.393856048583984,37.50233459472656,25.66896247863769,12.223308563232422,15.092852592468262,,27.324501037597656,21.498401641845703,46.627906799316406,19.351749420166016,3.549999952316284,8.767265319824219,3.326433181762696,35.69265365600586,12.307353019714355,36.2282600402832,
2006-01-12,2.555180549621582,39.47999954223633,35.349998474121094,2.2179999351501465,40.82747268676758,17.92325210571289,,35.711326599121094,9.5625,13.324532508850098,,21.03900718688965,85.82564544677734,11.602352142333984,27.27151870727539,35.52497100830078,37.32833099365234,25.195941925048828,12.155840873718262,14.741440773010254,,27.06679344177246,21.163822174072266,46.229286193847656,19.24539375305176,3.674285888671875,8.667841911315918,3.2790334224700928,35.299835205078125,12.24407196044922,35.95492172241211,
2006-01-13,2.5945894718170166,38.84000015258789,34.130001068115234,2.220000028610229,40.74358367919922,18.08844375610352,,35.90142059326172,9.532500267028809,13.130215644836426,,21.08823585510254,85.5604019165039,11.66791820526123,26.861316680908203,35.69542694091797,37.09431838989258,25.17701530456543,12.117704391479492,14.750452041625977,,27.15660285949707,20.96915435791016,46.110313415527344,19.280839920043945,3.6514289379119873,8.656797409057617,3.249980926513672,35.595947265625,12.374578475952148,36.25493621826172,
2006-01-17,2.567912578582764,39.43999862670898,32.86000061035156,2.200000047683716,40.37765121459961,18.002548217773438,,35.619834899902344,9.7475004196167,12.963659286499023,,20.825658798217773,84.01179504394531,11.689438819885254,26.643400192260746,36.10186767578125,36.77028274536133,25.044578552246094,12.03557014465332,14.299919128417969,,26.94575881958008,21.04214859008789,45.86636352539063,19.139009475708008,3.680000066757202,8.556367874145508,3.247687816619873,35.444862365722656,12.31525707244873,36.06826019287109,
2006-01-18,2.500614881515503,39.72999954223633,34.150001525878906,2.2160000801086426,40.23278045654297,18.012453079223633,,35.7183837890625,10.397500038146973,12.99835968017578,,20.677963256835938,86.09090423583984,11.13388442993164,26.85489845275879,36.12153244018555,37.31632995605469,24.77338218688965,11.973976135253906,15.1018648147583,,26.613862991333008,21.28548049926757,45.91991424560547,19.02555656433105,3.549999952316284,8.500130653381348,3.2645068168640137,35.62702560424805,12.31130313873291,35.96158981323242,
