Date,aapl,adbe,amd,amzn,axp,cl,cmg,cost,crm,csco,dal,dis,fdx,googl,hd,hsy,jnj,jpm,ko,luv,ma,mar,mcd,mmm,msft,nflx,nke,nvda,pg,sbux,tgt,v
2005-01-03,0.981875669299331,31.493821414656,22.11000061035156,2.247499942779541,37.34138833563084,16.46001704092131,,33.62823895678135,4.102499961853027,13.477208121979524,,22.579588399528983,84.52040768376753,4.939939975738525,27.28234943052573,35.68826181392032,37.275261864454585,23.75910569982382,11.977391656244656,14.70317114185231,,24.34893549480325,18.836808891433027,47.84073575287768,18.77502543833912,1.7999999523162842,9.04121586499787,1.8639037570458528,32.97153254824313,12.514972930814316,34.87560639704296,
2005-01-04,0.9668700094899656,31.09889880624707,21.479999542236328,2.133500099182129,36.88616507762956,16.20459351495694,,33.59338027462439,4.137499809265137,13.449447980058435,,22.912475724247503,83.05380208892097,5.040040016174316,27.44100848058517,35.02988997545462,37.128162628444336,23.66372155866855,11.874488059427858,14.397229860136113,,24.216987915878665,18.92026806958533,47.97464826111449,18.82407211777125,1.7028570175170898,9.048199342493746,1.8157391211315832,32.65748653858137,12.198591172359963,34.531304832753605,
2005-01-05,0.9770248436194972,30.084098555270824,20.31999969482422,2.0785000324249268,36.39809420874026,15.858641252789292,,32.88930199390028,4.195000171661377,12.81792544408903,,22.530870327036403,81.79176203697833,4.841091156005859,26.971372963477805,35.46236929788507,36.99283038219513,23.433029018506765,11.720119093967773,14.028300982272809,,24.003531439874493,19.122949335952395,47.56708852460512,18.8030462921536,1.6771429777145386,8.946411134069091,1.699531504186031,32.75230420871023,12.064129869262985,34.0545432708097,
2005-01-06,0.9802076838645428,30.1090915095642,20.06999969482422,2.0905001163482666,35.92865994221679,16.00413063907648,,34.06044193167629,4.487500190734863,12.956719681000804,,22.27105573035572,81.46777346560282,4.881882190704346,26.75561046784632,34.61033591999805,36.92222150084541,23.536230679900736,11.631505584660692,14.046301220112348,,23.94920543824696,18.979878467761505,47.08967007561976,18.810058026750536,1.600000023841858,8.808693435514071,1.764515504676754,32.47977083395604,11.78333649144282,33.24671081405616,
2005-01-07,0.9852096763211036,29.499210684471265,19.90999984741211,2.069000005722046,35.88899506693048,16.078494840865982,,33.196040624755874,4.482500076293945,13.130213691284878,,22.327889746423672,82.11582140482967,4.770771026611328,26.4192523708846,34.700699590546165,37.05756333879272,23.487666404023905,11.740133413498,14.15427920514873,,24.143246991613488,19.093135812222165,47.45067900218277,18.78904383265697,1.5871429443359375,8.81368847832002,1.7209379309732518,32.67528859922556,11.864410810495654,32.1806497900553,
2005-01-10,1.0584187052512384,29.394231850786703,20.100000381469727,2.0969998836517334,35.47905861626941,16.191667983020647,,33.04965820324024,4.25,12.949777192805213,,22.043715766314804,80.93054820501979,4.867366790771484,26.17810447689412,34.79107351612447,36.91045428962539,23.232690811157227,11.74013187557686,13.929319456307068,,24.02293925124519,18.8785457611084,47.91642675204347,18.634920661767893,1.5857139825820925,8.67696638789969,1.6895929912675416,33.19073047303199,11.739833461266874,32.46537420301407,
2005-01-11,1.0344706254947205,29.45921963345326,16.6299991607666,2.069999933242798,35.48567190288157,16.28219225467558,,33.08450576236477,4.244999885559082,12.880379953064114,,22.051836652150847,81.17781338068646,4.895394802093506,26.387540386827222,34.97179946363988,36.98105704971365,23.129488504150544,11.794445788528916,13.965317798058823,,24.003534534705835,18.73547848883053,48.87707898500988,18.69796284411129,1.6285710334777832,8.781748601804207,1.6720082304304464,33.13148914121112,11.32062696202,32.84279590928767,
2005-01-12,0.992031270985731,29.234263824665067,14.949999809265137,2.07450008392334,35.313752901106106,16.201359166737483,,32.93811660774605,3.75,13.019178801937093,,22.10055015697781,80.48715590321225,4.863112926483154,26.43195350936303,35.21063561023916,37.039906026120605,23.068771889447888,11.768718644470765,13.875338797270532,,23.71246915450264,18.61030054035905,49.24388530976323,18.754007264779023,1.5985709428787231,8.793726727945227,1.650602556851536,33.33293995630775,11.34830630894707,32.611052475246844,
2005-01-13,1.117228636723666,29.59919183490803,15.239999771118164,2.122499942779541,35.207985400581606,16.32745001026681,,33.18209316028353,3.8125,13.130211944340989,,22.636423797178423,80.81964928448939,4.8893890380859375,26.685803601543668,35.21063336842158,37.157563299553615,23.06878574763672,11.76586178906372,13.68636892371142,,24.0617490444744,18.622215749499137,49.29046179701033,18.6909679285612,1.5642859935760498,8.822666544453483,1.6261376351970296,33.17889137599492,11.156499585601455,32.96199008879408,
2005-01-14,1.0647844473364965,29.22426638443086,15.199999809265137,2.1449999809265137,35.04267802582836,16.133459169080236,,33.39121978398705,3.8125,13.09551263129349,,22.798809453308944,80.1119567925524,4.904904842376709,26.527145073557943,35.16544452959699,36.74570270273188,22.9352297525086,11.648659036651631,13.5693913088593,,24.166531757857904,18.383776849655515,48.78392992874575,18.494808860252576,1.5914289951324463,8.791729013390981,1.6697151934531531,32.8826601737626,10.927122597382729,32.6110430195104,
2005-01-18,1.0587219246109183,29.024306211346307,15.050000190734863,2.2144999504089355,34.74515359211,16.0849589923843,,33.56549648605754,3.724999904632568,13.012237679764302,,22.985548692771832,79.57472283420783,5.0292792320251465,26.343097563374343,35.39782234590666,36.61625020877425,22.89273481598676,11.64007849244147,13.632381649083252,,24.42267703051069,18.59837441595603,48.90037010183664,18.235595039730573,1.6271430253982544,8.86158719629658,1.626137532939639,32.87079606844629,11.168365198830957,31.95551799327757,
