Date,aapl,adbe,amd,amzn,axp,cl,cost,csco,dis,fdx,hd,hsy,jnj,jpm,ko,luv,mar,mcd,mmm,msft,nflx,nke,nvda,pg,sbux,tgt
2000-01-03,0.7947996042727937,16.693565965039713,14.96875,4.074999809265137,34.72948102943389,19.260616685491968,31.51287335760138,38.14753712995539,22.63167121606588,35.78878640920314,42.19694614867579,13.765435108277355,25.34053621453754,24.863423941235407,15.207880261203403,9.653981216208138,11.826694883348631,22.36106924905385,25.215814106669644,36.45797605949177,,4.785835196653021,0.9030911591268456,28.774988713834446,2.360522601478691,23.135441378935045
2000-01-04,0.8203772166172846,15.638578797974525,15.125,4.268750190734863,32.78980264422582,18.433012696885573,30.77750308729741,36.607755324419806,23.21196642344781,35.89437829442771,39.35307281123482,13.39933416222324,24.79632868756718,23.624274609872835,14.781797546352925,9.467611515977833,11.358309745788574,22.01112711871112,24.379101088951373,35.27374928481836,,4.561404490208888,0.8791994299701341,28.39132226179669,2.37906126095601,22.254850109166053
2000-01-05,0.7862733670347287,14.459477989041076,14.53125,3.525000095367432,31.8211146537636,18.282533961146463,29.22025265495128,34.72098368930172,24.46928837674319,35.3665144840291,37.96956734430222,13.106444094137832,24.16706439977237,23.49884225291324,14.798187382527423,9.206691720060562,11.358312823396492,21.73118103438436,23.919738051079552,34.51665040570782,,4.440090105131075,0.8457520459433578,27.99097518458511,2.3667030810864307,22.074726092350947
2000-01-06,0.8042732030463084,15.25071766791556,15.5,3.565624952316284,30.76392005480009,17.454925504470253,29.977260503553808,34.98123066186905,25.48480529795138,35.89437333364335,37.89271594683329,13.197970220576162,24.575229879169346,23.45702570316985,14.929282331675816,9.169419274448297,11.569081292605798,21.90614395509579,24.75643275807572,34.84665950861844,,4.64632511138916,0.8421684628330893,28.057704695682816,2.372882129867876,21.134102023680928
2000-01-07,0.7313290205465904,15.281748845310286,15.40625,3.3499999046325684,31.873949936013844,17.79349790355632,30.06377289966099,34.48242640129369,24.46928257337204,39.90610132719341,37.96958924841693,13.49085685166563,25.61266119863085,24.29328602099594,15.17510382923079,9.169418182355573,11.709596133904553,21.836166334002744,26.54466224354839,33.74012633541361,,4.628128385873509,0.7836348897827907,29.24206545424564,2.44703502795991,20.49367766203704
2000-01-10,0.773010889235254,16.228133244142214,16.75,3.628124952316284,32.349698242598464,19.110149615874228,32.204993875403154,37.64873209797529,26.30690244608352,40.06446624571277,38.123300916481206,13.472554057353252,26.309944960128423,24.335097484052497,15.92893726539409,9.467609372511625,12.36533581572619,22.396068840800503,26.36420749626999,35.2349356181903,,4.6705884848783645,0.802747586554348,30.9101706440558,2.558264156946769,21.29420815558789
2000-01-11,0.7270664203069314,16.678049012334522,17.5,3.34375,32.64042893756531,18.95967187070427,32.61594796798727,37.518617491207216,27.75765119275146,38.79762464026882,39.00719682335248,13.545771868475551,25.3065293672069,23.41522025378387,15.765062920236144,9.840357774256356,12.576108669741972,22.46605115402036,26.44624439163588,34.63311253138951,,4.791900965870156,0.8218602722515628,30.79341740820818,2.56444329914259,21.15411032896103
2000-01-12,0.719960918473428,15.576521549205722,17.0,3.393749952316284,32.970796680274496,19.03490480589636,32.22664311935341,37.08487910868388,27.806001858380384,37.90023819517694,37.85428665067425,13.344415247440338,25.544637019621494,23.31068613688627,15.945329293972106,9.877624434063057,12.22482023282547,22.92096946671692,26.75794687105468,33.70129464831637,,4.937478345557103,0.7931905889108166,31.12704012944148,2.50882854917308,21.874598843395106
2000-01-13,0.7160533251186976,15.59203510284424,18.375,3.246875047683716,33.08973214342792,19.29823910557776,32.03197919733827,36.78124849118508,26.161814951866667,39.37824264485785,38.20016479492188,13.179668826656744,25.561638763151976,23.79152682620074,16.10921000646979,9.76580237140682,12.34191709261265,23.900802896857435,26.59388833720394,32.420029305720675,,4.761574912743381,0.7716890944340697,31.19377132084059,2.50882871689335,22.134778081506923
2000-01-14,0.7578540834777794,16.53841443291034,18.5625,3.337500095367432,33.39365885374912,19.862508158104795,33.308058526105945,37.561994438459536,26.935553920000924,39.853328628028,38.3538730825353,13.143057281225264,25.56163295799292,24.73232332604413,15.912556514525244,9.691257569736742,12.365338308233108,23.9707856690617,26.44625117000054,33.293616851347856,,4.913213576009394,0.8170823403593841,30.82677929217999,2.68803081389406,22.41496695508165
2000-01-18,0.7654328899262195,16.150555207394063,20.0,3.171875,33.406862935670226,18.97848212718964,33.740628126190934,37.30174788406917,25.96839411241017,38.85040481761624,37.662138741863664,12.46576978300893,25.034415556420047,24.73232177229437,16.010886043768664,9.504883800234111,12.1779802411076,23.72584171754768,25.527518828403075,34.73020574885009,,4.9253460778130425,0.8505298161425195,31.210437774658203,2.589161255283125,21.614423569510965
2000-01-19,0.8004832438899164,15.816996466150302,19.875,3.206249952316284,32.45540570646075,18.959675858660443,35.946730096656154,38.75477476337584,26.69376032985177,37.10845385837016,36.97037919169725,12.447466034820112,24.762302289392903,24.1678468888125,17.043312628150442,9.281243317550024,12.014047831901484,22.95597276715754,25.658766305574805,34.32252468572599,,5.022399620830856,0.8791993542746241,30.50991817982716,2.576802352143276,21.79454632674721
2000-01-20,0.8753213241168024,15.793725692793858,21.75,3.346874952316284,31.76823687360479,18.470628902000325,36.24955617904663,39.34033254892861,26.88719819480772,36.2110860712388,37.854281089288726,12.612215104279697,25.102460974013216,25.21317090384568,17.108859538127167,9.169419333384468,12.037468961815698,23.830814361572266,26.003278182151284,33.25480229224799,,5.167974401820372,0.8744212769037412,30.50990806295765,2.527367020690607,22.394940104180755
