Date,aapl,adbe,amd,amzn,axp,cl,cost,crm,csco,dis,fdx,googl,hd,hsy,jnj,jpm,ko,luv,mar,mcd,mmm,msft,nflx,nke,nvda,pg,sbux,tgt
2001-01-02,0.2254616171121597,29.00532494496837,14.125,0.7906249761581421,34.72750048649079,19.28257530917111,27.684622548961496,,26.4582135842844,22.15461879063712,33.318415700588595,,28.18984155694153,19.21140180210692,28.69664151060815,22.82125428589908,16.186819684223675,19.85145817407658,15.606282161816749,19.05559299241251,31.79536598417605,13.705711798983966,,5.34684657830289,1.2614604083213208,21.234435640322936,4.342559663420952,21.038858886948205
2001-01-03,0.2197780571807264,23.073831245479976,14.5,0.6812499761581421,32.86644094901202,19.708713708337555,28.290223983161447,,22.597918407999984,21.813779095685327,32.27115551758722,,28.11271213239482,19.47329303834686,28.420721763900566,22.376714364981947,16.153623747926222,19.702200262367807,15.276241948858011,18.91470356022936,31.76173442162633,13.414518306587944,,5.005038873765734,1.1085561235248031,21.33635652883968,4.152544473637047,21.44189409716376
2001-01-04,0.2749591169858602,28.32211569852608,16.125,0.8500000238418579,36.09725331326391,18.41508111484668,28.89582027883448,,29.45103034119108,24.199661106293217,36.316667461036175,,30.73502219083664,18.31349305520978,27.058317148670035,26.53009071716896,15.638960599122685,20.14997378562138,16.785002404753758,18.738586021192145,31.72808592660087,14.851087557884954,,5.438400795366071,1.4693151642448,20.26615012588435,4.232875069189236,23.21529918999841
2001-01-05,0.2567227711164618,26.58303758936021,17.1875,0.7749999761581421,33.98327717629472,17.319314850083877,30.193548545895112,,29.71127231780173,24.88134608052906,37.75244834160423,,30.85072388002022,17.1724147053508,26.8858631823407,26.143718578197337,15.290320738423556,20.627615318784287,17.256485428256894,18.456796982709097,31.492570593002,15.064634289146989,,5.597100000967494,1.6532772454640798,19.63761337445715,4.195800746530742,23.21529112119932
2001-01-08,0.2567227922727937,24.812901327318382,15.9375,0.721875011920929,33.105781906570854,17.535424183608402,28.24695918030604,,24.246132562383725,24.540502294997623,36.27444055916339,,30.54219863111664,17.359482439921297,26.816881428594176,25.2422172817482,15.356733092367012,20.53805275257779,17.115047471754178,18.52724858486291,30.415896268832192,15.200522422790527,,5.365158808378792,1.3785274066393218,20.198201480787628,4.078391681866277,22.247988031560727
2001-01-09,0.2548282307224805,24.688683561279603,16.8125,0.7281249761581421,31.2710142821498,18.03462081114271,29.068847108849493,,26.1545978603941,23.46928977966309,36.10551387545352,,29.346748094792588,17.658773398097555,27.04108127170139,25.692971392375668,15.572548113371196,19.767879773623267,17.327221139762788,18.35113415420619,30.93740404617688,15.530550120391664,,5.566581946430904,1.574436505935869,20.588904548530003,4.208159510505326,22.16738669768624
2001-01-10,0.2529337637122891,24.37813586876041,16.5,0.7921879887580872,29.835075602772505,18.141141065010768,28.41998559978151,,23.899142360687257,23.46929356362924,34.37415412698796,,28.26697248526713,17.696191909985664,27.299754926092152,25.499792124742378,15.738570824233976,19.105161113935235,17.37437404527843,18.527245106670144,29.776609767856502,15.841163472926365,,5.792417708050925,1.5027626436230066,20.011329460305543,4.078391790390015,21.844946506451784
2001-01-11,0.2463029152299092,22.45273022347836,16.875,0.7875000238418579,29.71542233529424,18.0498260567196,28.07394413508013,,24.126855652934065,23.66404913247267,35.818377544298144,,29.50098730196619,17.47171711063697,26.489208291075048,26.33688541703081,15.638963499879528,19.07531192638191,16.902878700026776,18.77380841184073,30.247667861224016,16.46237730546431,,5.682552146652408,1.653277794692599,20.062298355233622,4.300848446707059,21.92555365161361
2001-01-12,0.2709324410123282,24.84395571948575,18.125,0.8671879768371582,31.23110866196009,17.702832163935543,28.636279096451137,,27.195572942348537,23.17714293506626,35.21872005324407,,30.272275291326388,17.153703704166933,25.66143724198225,27.81795660021157,15.24051653628318,18.627532338846468,16.808583415833784,18.56246687665748,30.18037762112088,17.044783186689717,,5.578787621952864,1.865910411803648,19.90940325249566,4.31938747475792,21.56280437106504
2001-01-16,0.2643016492996316,25.154508689111807,17.8125,0.915624976158142,30.59292738186208,17.623693466186523,29.93400906490288,,26.371461447183187,24.78395779766059,35.05825057546672,,30.07944555843578,17.228535354517067,25.98909568786621,27.56037658978293,15.04129037104155,18.31110293220612,16.832156444806362,18.45680452004457,29.77662040273524,16.578859898479884,,5.505540635471151,1.806182297398344,19.28086873244245,4.374999691419215,22.489814379489378
2001-01-17,0.2661961892647821,26.241433865556093,19.0625,0.943750023841858,31.62996336337607,17.623701732028696,30.36658051434685,,27.716066369643578,25.757790281516467,35.93659971487708,,29.53956386535316,17.658773533468885,25.95459887992791,27.270610148052,15.157508343940414,17.88123941231356,17.232928660523726,19.090815886076506,28.66630749268965,16.656517276516208,,5.462818529377566,1.7822906241060528,19.56290808089164,4.442973227625997,23.215296241001308
2001-01-18,0.2699851188170685,26.676204038517813,18.5625,0.918749988079071,32.308040680311386,17.20669054159432,28.982348923949274,,27.10882763364422,26.00125125567637,35.89437829442771,,28.69116534216929,17.35947604854731,25.55794472390033,26.530089089821203,15.38993377289052,17.523016596812678,17.16220234307857,19.231701925341525,29.60840067732225,16.67592638677305,,5.456713209471553,1.7153954388513388,19.15321913043272,4.480050945926022,23.255591759845537
